"number","created_by","created_at","state","closed_by","closed_at"
"1998","TMsangohan","2017-02-21 08:43:33","open","",""
"1997","martindurant","2017-02-20 23:10:05","open","",""
"1996","marqh","2017-02-20 11:54:26","open","",""
"1995","Juanlu001","2017-02-20 10:05:46","open","",""
"1994","Juanlu001","2017-02-20 09:43:02","closed","mrocklin","2017-02-20 12:30:09"
"1993","virisha22","2017-02-20 09:08:45","open","",""
"1992","mrocklin","2017-02-19 14:59:14","open","",""
"1991","mrocklin","2017-02-17 18:32:33","open","",""
"1990","jcrist","2017-02-17 15:16:11","closed","mrocklin","2017-02-18 02:44:21"
"1989","Juanlu001","2017-02-17 12:59:02","closed","mrocklin","2017-02-18 02:44:21"
"1988","pp-mo","2017-02-16 18:04:31","open","",""
"1987","jakirkham","2017-02-15 20:28:48","open","",""
"1986","XavierCLL","2017-02-15 16:07:06","closed","XavierCLL","2017-02-15 16:19:19"
"1985","mrocklin","2017-02-15 14:27:49","closed","mrocklin","2017-02-18 02:46:56"
"1984","kaloramik","2017-02-15 09:03:15","closed","kaloramik","2017-02-15 18:09:42"
"1983","jakirkham","2017-02-14 20:56:34","open","",""
"1982","jakirkham","2017-02-14 20:50:48","closed","mrocklin","2017-02-14 20:59:39"
"1981","mrocklin","2017-02-14 20:16:39","open","",""
"1980","jakirkham","2017-02-13 15:20:21","open","",""
"1979","eriknw","2017-02-12 19:50:40","open","",""
"1978","demianw","2017-02-12 17:10:36","open","",""
"1977","varunmittal91","2017-02-12 16:56:05","open","",""
"1976","jcrist","2017-02-10 17:07:15","closed","mrocklin","2017-02-12 16:02:08"
"1975","jcrist","2017-02-10 00:17:39","closed","jcrist","2017-02-10 16:30:07"
"1974","rothnic","2017-02-09 17:48:24","open","",""
"1973","kwmsmith","2017-02-08 22:33:04","open","",""
"1972","mrocklin","2017-02-08 14:24:02","closed","mrocklin","2017-02-13 13:43:54"
"1971","mattilyra","2017-02-08 09:30:34","closed","mattilyra","2017-02-08 17:21:23"
"1970","jcrist","2017-02-07 00:34:08","closed","jcrist","2017-02-09 14:54:32"
"1969","jcrist","2017-02-06 19:25:56","closed","jcrist","2017-02-07 00:33:25"
"1968","eriknw","2017-02-06 16:12:11","closed","jcrist","2017-02-10 16:30:07"
"1967","rmancy-smg","2017-02-06 06:40:37","closed","rmancy-smg","2017-02-06 23:25:51"
"1966","eriknw","2017-02-06 06:34:32","closed","mrocklin","2017-02-06 22:36:32"
"1965","DigitalPig","2017-02-05 06:01:58","open","",""
"1964","mrocklin","2017-02-05 03:38:21","open","",""
"1963","mrocklin","2017-02-04 15:01:29","closed","mrocklin","2017-02-13 15:47:36"
"1962","0xymor0n","2017-02-04 14:26:28","open","",""
"1961","mrocklin","2017-02-03 21:12:05","closed","mrocklin","2017-02-12 16:33:20"
"1960","brendancol","2017-02-03 17:48:03","open","",""
"1959","mrocklin","2017-02-03 01:33:43","open","",""
"1958","jklymak","2017-02-03 00:02:26","open","",""
"1957","jseabold","2017-02-02 18:08:27","closed","jseabold","2017-02-03 02:56:32"
"1956","mrocklin","2017-02-02 12:48:34","closed","mrocklin","2017-02-03 00:19:53"
"1955","mrocklin","2017-02-01 21:16:50","closed","mrocklin","2017-02-01 22:50:06"
"1954","mrocklin","2017-02-01 17:24:17","closed","mrocklin","2017-02-01 22:55:49"
"1953","eriknw","2017-02-01 03:01:41","closed","jcrist","2017-02-01 16:47:10"
"1952","jcrist","2017-01-31 19:25:28","closed","jcrist","2017-01-31 22:53:19"
"1951","jcrist","2017-01-31 18:40:25","closed","jcrist","2017-01-31 22:52:56"
"1950","eriknw","2017-01-31 16:05:14","closed","jcrist","2017-01-31 20:32:53"
"1949","alimanfoo","2017-01-31 09:29:32","closed","jcrist","2017-01-31 22:52:56"
"1948","jtf621","2017-01-30 23:52:09","open","",""
"1947","alimanfoo","2017-01-30 22:40:28","closed","jcrist","2017-01-31 22:53:19"
"1946","mrocklin","2017-01-30 22:01:25","open","",""
"1945","JohnCrickett","2017-01-28 17:29:42","closed","jcrist","2017-01-31 00:20:25"
"1944","ranranking","2017-01-27 23:33:58","closed","mrocklin","2017-01-27 23:42:16"
"1943","mrocklin","2017-01-27 23:14:19","open","",""
"1942","jcrist","2017-01-27 23:06:38","closed","jcrist","2017-01-27 23:49:49"
"1941","jcrist","2017-01-27 22:14:04","closed","jcrist","2017-01-31 19:37:28"
"1940","Talmaj","2017-01-27 16:54:09","closed","martindurant","2017-01-30 22:55:41"
"1939","jspreston","2017-01-27 14:17:00","closed","jcrist","2017-01-31 19:35:51"
