"number","created_by","created_at","state","commits","merged_by","merged_at"
"1997","martindurant","2017-02-20 23:10:05","open","1","",""
"1994","Juanlu001","2017-02-20 09:43:02","closed","2","mrocklin","2017-02-20 12:30:09"
"1992","mrocklin","2017-02-19 14:59:14","open","4","",""
"1990","jcrist","2017-02-17 15:16:11","closed","1","mrocklin","2017-02-18 02:44:21"
"1985","mrocklin","2017-02-15 14:27:49","closed","19","mrocklin","2017-02-18 02:46:56"
"1982","jakirkham","2017-02-14 20:50:48","closed","1","mrocklin","2017-02-14 20:59:38"
"1979","eriknw","2017-02-12 19:50:40","open","29","",""
"1976","jcrist","2017-02-10 17:07:15","closed","1","mrocklin","2017-02-12 16:02:08"
"1975","jcrist","2017-02-10 00:17:39","closed","1","jcrist","2017-02-10 16:30:07"
"1972","mrocklin","2017-02-08 14:24:02","closed","1","mrocklin","2017-02-13 13:43:54"
"1970","jcrist","2017-02-07 00:34:08","closed","1","jcrist","2017-02-09 14:54:32"
"1969","jcrist","2017-02-06 19:25:56","closed","4","",""
"1966","eriknw","2017-02-06 06:34:32","closed","2","mrocklin","2017-02-06 22:36:32"
"1963","mrocklin","2017-02-04 15:01:29","closed","2","mrocklin","2017-02-13 15:47:36"
"1961","mrocklin","2017-02-03 21:12:05","closed","7","mrocklin","2017-02-12 16:33:20"
"1956","mrocklin","2017-02-02 12:48:34","closed","4","mrocklin","2017-02-03 00:19:53"
"1955","mrocklin","2017-02-01 21:16:50","closed","1","mrocklin","2017-02-01 22:50:06"
"1954","mrocklin","2017-02-01 17:24:17","closed","1","mrocklin","2017-02-01 22:55:49"
"1953","eriknw","2017-02-01 03:01:41","closed","2","jcrist","2017-02-01 16:47:10"
"1952","jcrist","2017-01-31 19:25:28","closed","1","jcrist","2017-01-31 22:53:19"
"1951","jcrist","2017-01-31 18:40:25","closed","1","jcrist","2017-01-31 22:52:56"
"1950","eriknw","2017-01-31 16:05:14","closed","5","jcrist","2017-01-31 20:32:53"
"1945","JohnCrickett","2017-01-28 17:29:42","closed","6","jcrist","2017-01-31 00:20:25"
"1943","mrocklin","2017-01-27 23:14:19","open","1","",""
"1942","jcrist","2017-01-27 23:06:38","closed","2","jcrist","2017-01-27 23:49:49"
"1941","jcrist","2017-01-27 22:14:04","closed","1","jcrist","2017-01-31 19:37:27"
"1940","Talmaj","2017-01-27 16:54:09","closed","5","martindurant","2017-01-30 22:55:41"
"1939","jspreston","2017-01-27 14:17:00","closed","1","jcrist","2017-01-31 19:35:51"
"1937","JohnCrickett","2017-01-27 14:08:42","closed","2","mrocklin","2017-01-27 15:36:01"
"1935","mrocklin","2017-01-26 18:03:44","closed","2","mrocklin","2017-02-02 12:39:42"
"1934","mrocklin","2017-01-25 19:18:32","closed","2","mrocklin","2017-01-26 19:30:47"
"1933","mrocklin","2017-01-24 23:55:28","closed","1","mrocklin","2017-01-25 12:50:49"
"1932","jcrist","2017-01-24 22:46:03","closed","1","jcrist","2017-01-25 04:21:34"
"1931","mrocklin","2017-01-24 12:45:03","closed","1","mrocklin","2017-01-24 16:38:43"
"1930","martindurant","2017-01-23 23:03:35","closed","6","jcrist","2017-02-13 15:31:06"
"1929","jcrist","2017-01-23 21:01:31","closed","4","mrocklin","2017-01-24 12:45:45"
"1927","mrocklin","2017-01-22 18:15:27","closed","7","mrocklin","2017-01-25 19:28:35"
"1924","mrocklin","2017-01-20 16:41:20","closed","2","mrocklin","2017-01-20 22:23:18"
"1923","chrisbarber","2017-01-20 04:08:38","closed","3","mrocklin","2017-01-22 12:53:52"
"1920","mrocklin","2017-01-17 18:25:07","closed","1","",""
"1919","eriknw","2017-01-17 00:50:57","closed","15","mrocklin","2017-01-20 22:21:06"
"1915","mrocklin","2017-01-14 15:41:10","open","2","",""
"1914","sinhrks","2017-01-14 06:19:35","closed","3","mrocklin","2017-02-14 17:10:53"
"1913","sinhrks","2017-01-14 06:15:58","closed","2","mrocklin","2017-01-19 13:39:51"
"1912","kalefranz","2017-01-13 21:38:21","closed","4","",""
"1910","frol","2017-01-13 11:45:08","closed","1","mrocklin","2017-01-15 15:04:12"
"1909","wabu","2017-01-13 09:53:09","closed","5","mrocklin","2017-01-21 01:52:44"
"1907","jcrist","2017-01-12 16:38:46","closed","1","jcrist","2017-01-12 17:04:30"
"1904","jcrist","2017-01-11 00:12:14","closed","1","jcrist","2017-01-11 01:15:01"
"1902","mrocklin","2017-01-10 17:37:02","closed","1","mrocklin","2017-01-11 01:01:01"
"1901","nirizr","2017-01-09 21:54:37","open","3","",""
"1900","jcrist","2017-01-09 21:45:49","closed","1","jcrist","2017-01-09 22:36:34"
"1899","jcrist","2017-01-09 21:01:26","closed","3","jcrist","2017-01-10 19:20:20"
"1894","jcrist","2017-01-07 00:49:28","closed","2","jcrist","2017-01-09 20:40:03"
"1893","electronwill","2017-01-06 22:55:51","closed","2","mrocklin","2017-01-07 02:33:49"
"1891","nirizr","2017-01-06 20:19:36","open","1","",""
"1889","elritsch","2017-01-05 21:57:05","closed","1","mrocklin","2017-01-06 00:41:25"
"1886","magonser","2017-01-04 14:56:41","closed","3","jcrist","2017-01-06 18:49:13"
"1882","ernstki","2017-01-03 22:12:27","closed","2","mrocklin","2017-01-04 02:46:23"
"1881","rabernat","2017-01-03 20:30:49","open","2","",""
"1879","nirizr","2017-01-03 17:11:00","closed","4","mrocklin","2017-01-06 20:44:35"
"1877","jcrist","2017-01-03 07:03:38","closed","24","jcrist","2017-01-23 19:16:44"
"1874","mrocklin","2016-12-30 23:27:08","closed","1","mrocklin","2017-01-24 12:45:54"
"1872","mrocklin","2016-12-29 22:38:19","closed","1","mrocklin","2016-12-29 23:12:56"
"1871","mrocklin","2016-12-29 22:16:06","closed","1","mrocklin","2016-12-29 23:13:08"
"1869","mrocklin","2016-12-28 16:46:33","closed","1","mrocklin","2016-12-29 02:29:09"
"1867","mrocklin","2016-12-24 15:56:45","closed","1","mrocklin","2016-12-26 21:59:36"
"1866","mrocklin","2016-12-24 15:47:10","closed","2","mrocklin","2016-12-24 22:19:17"
"1865","mrocklin","2016-12-24 05:12:18","closed","3","mrocklin","2016-12-24 15:05:06"
