"number","created_by","created_at","state","closed_by","closed_at"
"2188","Parakleta","2017-02-20 04:32:41","open","",""
"2187","mitchjacksontech","2017-02-19 06:28:20","closed","davidism","2017-02-19 18:48:34"
"2186","combinatorist","2017-02-18 06:32:10","closed","ThiefMaster","2017-02-18 06:41:59"
"2185","erincat","2017-02-17 09:29:04","closed","ThiefMaster","2017-02-17 09:30:13"
"2184","rahulbajaj0509","2017-02-17 06:19:00","closed","davidism","2017-02-17 13:04:57"
"2183","cateee","2017-02-16 08:47:38","closed","cateee","2017-02-17 07:49:53"
"2182","nficano","2017-02-15 16:54:43","closed","ThiefMaster","2017-02-15 16:55:57"
"2181","migueleliasweb","2017-02-13 22:50:45","open","",""
"2180","jeffwidman","2017-02-11 07:53:34","closed","untitaker","2017-02-11 09:43:11"
"2179","jeffwidman","2017-02-10 09:06:46","closed","untitaker","2017-02-10 11:20:00"
"2178","barischj","2017-02-09 22:46:32","closed","barischj","2017-02-09 23:14:05"
"2177","NinnOgTonic","2017-02-09 14:44:14","closed","ThiefMaster","2017-02-09 14:49:57"
"2176","rth","2017-02-09 14:33:33","closed","rth","2017-02-13 12:46:23"
"2175","swanhtet1992","2017-02-09 11:40:15","closed","untitaker","2017-02-09 14:29:59"
"2174","brocef","2017-02-08 16:32:39","open","",""
"2173","vojtekb","2017-02-07 20:26:44","closed","untitaker","2017-02-09 17:34:17"
"2172","pedia","2017-02-06 05:40:12","open","",""
"2171","amehta","2017-02-05 18:55:22","closed","untitaker","2017-02-05 19:25:07"
"2170","magician333","2017-02-05 11:55:30","closed","ThiefMaster","2017-02-05 12:01:23"
"2169","dland512","2017-02-04 05:15:36","open","",""
"2168","crishmania","2017-02-02 23:52:51","closed","ThiefMaster","2017-02-02 23:53:56"
"2166","ilatypov","2017-01-30 15:32:04","closed","ilatypov","2017-01-30 15:37:56"
"2165","javixeneize","2017-01-30 10:41:22","closed","untitaker","2017-01-30 11:52:50"
"2164","mitsuhiko","2017-01-29 19:30:31","open","",""
"2163","ThiefMaster","2017-01-29 14:18:54","open","",""
"2162","jalexvig","2017-01-29 00:05:15","open","",""
"2161","pythonanonuser","2017-01-28 20:44:14","closed","ThiefMaster","2017-01-28 21:21:44"
"2160","augustinrieunier","2017-01-25 18:05:09","closed","untitaker","2017-01-25 20:55:07"
"2159","alexli0707","2017-01-24 03:24:01","closed","alexli0707","2017-01-24 03:28:14"
"2158","protream","2017-01-23 10:48:10","closed","davidism","2017-01-23 11:39:54"
"2157","fengyc","2017-01-22 08:39:28","closed","ThiefMaster","2017-01-22 08:59:44"
"2156","Erfa","2017-01-18 16:11:55","closed","Erfa","2017-01-27 13:15:13"
"2155","kblomqvist","2017-01-17 12:06:08","closed","davidism","2017-01-17 15:15:51"
"2154","jeffwidman","2017-01-16 21:30:44","closed","untitaker","2017-01-17 19:20:08"
"2153","r0fls","2017-01-16 08:31:36","closed","ThiefMaster","2017-01-16 10:12:26"
"2152","r0fls","2017-01-16 08:26:38","closed","davidism","2017-01-17 21:22:17"
"2151","barracks510","2017-01-14 04:34:29","closed","untitaker","2017-01-14 20:58:46"
"2150","jeff1evesque","2017-01-14 02:47:32","closed","jeffwidman","2017-01-14 05:39:22"
"2149","onovy","2017-01-13 10:00:35","closed","davidism","2017-01-13 13:30:22"
"2148","drewja","2017-01-10 17:55:58","closed","davidism","2017-01-10 18:07:26"
"2147","kamyarg","2017-01-10 14:59:29","closed","ThiefMaster","2017-01-10 15:00:09"
"2146","andriisoldatenko","2017-01-08 23:15:04","closed","davidism","2017-01-10 18:07:52"
"2145","misiek303","2017-01-08 22:42:17","closed","untitaker","2017-02-05 19:25:53"
"2144","sumpfgottheit","2017-01-08 21:16:37","open","",""
"2143","RedBuld","2017-01-07 15:34:50","closed","davidism","2017-01-07 15:39:13"
"2142","cdman","2017-01-05 09:14:28","closed","cdman","2017-01-05 15:59:37"
"2141","prmtl","2017-01-04 11:49:16","open","",""
"2140","Stupidkids","2017-01-03 12:47:24","closed","ThiefMaster","2017-01-03 12:48:31"
"2139","cinchent","2017-01-02 19:43:53","open","",""
"2138","brycepg","2017-01-02 02:41:13","closed","jeffwidman","2017-01-02 02:51:21"
"2137","JulyUp","2017-01-01 09:06:41","closed","davidism","2017-01-01 15:26:49"
"2136","marcanuy","2016-12-31 13:32:23","closed","ThiefMaster","2016-12-31 13:33:32"
"2135","untitaker","2016-12-30 21:24:20","closed","untitaker","2016-12-31 15:31:44"
"2134","puiterwijk","2016-12-30 21:15:20","closed","untitaker","2016-12-30 22:34:36"
"2133","pawl","2016-12-30 21:11:23","closed","untitaker","2016-12-30 21:46:36"
"2132","puiterwijk","2016-12-30 20:47:39","closed","untitaker","2016-12-31 15:31:44"
"2131","wgwz","2016-12-30 18:48:08","closed","untitaker","2017-01-15 04:56:13"
"2130","wgwz","2016-12-30 17:58:58","closed","wgwz","2016-12-30 17:59:53"
"2129","IvyGongoogle","2016-12-30 09:33:53","closed","ThiefMaster","2016-12-30 09:36:14"
