"number","created_by","created_at","state","commits","merged_by","merged_at"
"2187","mitchjacksontech","2017-02-19 06:28:20","closed","1","",""
"2186","combinatorist","2017-02-18 06:32:10","closed","1","ThiefMaster","2017-02-18 06:41:59"
"2182","nficano","2017-02-15 16:54:43","closed","1","ThiefMaster","2017-02-15 16:55:57"
"2180","jeffwidman","2017-02-11 07:53:34","closed","1","untitaker","2017-02-11 09:43:11"
"2179","jeffwidman","2017-02-10 09:06:46","closed","1","untitaker","2017-02-10 11:20:00"
"2175","swanhtet1992","2017-02-09 11:40:15","closed","1","untitaker","2017-02-09 14:29:59"
"2173","vojtekb","2017-02-07 20:26:44","closed","4","untitaker","2017-02-09 17:34:17"
"2164","mitsuhiko","2017-01-29 19:30:31","open","3","",""
"2163","ThiefMaster","2017-01-29 14:18:54","open","1","",""
"2157","fengyc","2017-01-22 08:39:28","closed","0","",""
"2155","kblomqvist","2017-01-17 12:06:08","closed","2","davidism","2017-01-17 15:15:51"
"2154","jeffwidman","2017-01-16 21:30:44","closed","1","untitaker","2017-01-17 19:20:08"
"2153","r0fls","2017-01-16 08:31:36","closed","1","",""
"2152","r0fls","2017-01-16 08:26:38","closed","5","davidism","2017-01-17 21:22:17"
"2151","barracks510","2017-01-14 04:34:29","closed","1","untitaker","2017-01-14 20:58:46"
"2149","onovy","2017-01-13 10:00:35","closed","1","davidism","2017-01-13 13:30:22"
"2148","drewja","2017-01-10 17:55:58","closed","1","davidism","2017-01-10 18:07:26"
"2147","kamyarg","2017-01-10 14:59:29","closed","0","",""
"2146","andriisoldatenko","2017-01-08 23:15:04","closed","1","",""
"2144","sumpfgottheit","2017-01-08 21:16:37","open","1","",""
"2141","prmtl","2017-01-04 11:49:16","open","1","",""
"2138","brycepg","2017-01-02 02:41:13","closed","1","jeffwidman","2017-01-02 02:51:21"
"2136","marcanuy","2016-12-31 13:32:23","closed","1","",""
"2135","untitaker","2016-12-30 21:24:20","closed","1","untitaker","2016-12-31 15:31:44"
"2134","puiterwijk","2016-12-30 21:15:20","closed","1","",""
"2133","pawl","2016-12-30 21:11:23","closed","2","",""
"2131","wgwz","2016-12-30 18:48:08","closed","5","untitaker","2017-01-15 04:56:13"
"2130","wgwz","2016-12-30 17:58:58","closed","6","",""
"2126","gliptak","2016-12-28 15:10:53","closed","1","ThiefMaster","2016-12-28 15:11:33"
"2123","untitaker","2016-12-25 15:37:43","closed","3","untitaker","2016-12-26 02:50:48"
"2122","gliptak","2016-12-25 01:51:03","closed","1","",""
"2120","svenstaro","2016-12-21 19:27:43","closed","1","untitaker","2016-12-21 20:06:48"
"2119","Hopsken","2016-12-21 05:21:01","closed","1","untitaker","2016-12-21 20:07:10"
