"number","created_by","created_at","state","closed_by","closed_at"
"1466","binrush","2017-02-19 10:24:23","open","",""
"1465","hramezani","2017-02-19 09:01:52","open","",""
"1464","arusahni","2017-02-16 16:48:22","open","",""
"1463","mark-adams","2017-02-14 13:58:16","closed","berkerpeksag","2017-02-14 16:49:38"
"1462","Six-wars","2017-02-14 08:12:45","closed","berkerpeksag","2017-02-14 10:08:46"
"1461","Six-wars","2017-02-13 10:29:20","closed","Six-wars","2017-02-15 08:47:44"
"1460","tuukkamustonen","2017-02-13 08:45:27","open","",""
"1459","berkerpeksag","2017-02-10 20:20:39","closed","berkerpeksag","2017-02-14 16:49:38"
"1458","zhangi","2017-02-08 16:24:11","closed","zhangi","2017-02-13 15:18:04"
"1457","pvalsecc","2017-02-08 11:12:24","open","",""
"1456","aconrad","2017-02-06 20:24:59","closed","benoitc","2017-02-09 13:51:26"
"1455","aconrad","2017-02-06 19:45:32","closed","berkerpeksag","2017-02-07 02:35:26"
"1454","berkerpeksag","2017-02-06 06:35:15","open","",""
"1453","berkerpeksag","2017-02-06 04:13:07","closed","berkerpeksag","2017-02-07 06:05:44"
"1452","Six-wars","2017-02-03 06:20:09","closed","benoitc","2017-02-06 09:19:10"
"1451","komuW","2017-02-01 14:07:22","closed","komuW","2017-02-01 14:26:28"
"1450","hramezani","2017-01-30 21:53:43","open","",""
"1449","hramezani","2017-01-30 19:54:41","closed","hramezani","2017-01-30 20:52:33"
"1448","fle","2017-01-30 15:13:18","open","",""
"1447","RyPeck","2017-01-26 04:46:07","open","",""
"1446","RyPeck","2017-01-26 04:06:06","closed","benoitc","2017-02-06 03:48:50"
"1445","tgwizard","2017-01-25 14:59:39","closed","benoitc","2017-02-09 13:30:49"
"1444","berkerpeksag","2017-01-23 04:37:24","closed","berkerpeksag","2017-01-23 05:07:46"
"1443","berkerpeksag","2017-01-23 04:17:12","closed","berkerpeksag","2017-01-31 22:03:43"
"1442","berkerpeksag","2017-01-22 05:59:36","open","",""
"1441","berkerpeksag","2017-01-22 04:49:54","closed","berkerpeksag","2017-01-22 05:17:29"
"1440","jseaidou","2017-01-21 14:24:19","open","",""
"1439","samuelcolvin","2017-01-19 15:56:21","closed","berkerpeksag","2017-01-22 05:17:29"
"1438","hramezani","2017-01-17 17:31:16","closed","berkerpeksag","2017-01-17 17:37:03"
"1437","hramezani","2017-01-16 20:39:26","closed","berkerpeksag","2017-01-16 21:55:46"
"1436","zt-initech","2017-01-16 15:53:51","open","",""
"1435","patrickyyang","2017-01-16 12:35:18","closed","berkerpeksag","2017-01-16 13:13:31"
"1434","patrickyyang","2017-01-16 12:34:59","closed","berkerpeksag","2017-01-20 01:21:44"
"1433","viirak","2017-01-16 06:45:21","closed","berkerpeksag","2017-01-16 23:34:23"
"1432","hramezani","2017-01-15 14:01:08","closed","berkerpeksag","2017-01-15 20:34:24"
"1431","berkerpeksag","2017-01-14 21:31:32","open","",""
"1430","berkerpeksag","2017-01-13 20:26:32","closed","berkerpeksag","2017-02-06 04:32:15"
"1429","duffsterlp","2017-01-12 21:00:17","open","",""
"1428","bsergean","2017-01-11 19:31:15","open","",""
"1427","rocknrollnerd","2017-01-09 11:03:56","open","",""
"1426","saeedghx68","2017-01-08 21:29:19","closed","berkerpeksag","2017-01-11 20:07:21"
"1425","hramezani","2017-01-08 20:16:33","closed","berkerpeksag","2017-01-13 09:08:52"
"1424","daavve","2017-01-07 17:06:55","closed","berkerpeksag","2017-01-08 01:03:08"
"1423","berkerpeksag","2017-01-05 13:57:27","closed","benoitc","2017-01-05 21:35:17"
"1422","Doerge","2017-01-05 11:18:02","closed","berkerpeksag","2017-02-06 04:32:15"
"1421","boazin","2017-01-04 20:22:09","open","",""
"1420","jw","2017-01-02 09:30:44","closed","jw","2017-01-02 09:34:45"
"1419","jaguarulises","2017-01-02 06:02:19","open","",""
"1418","fafhrd91","2016-12-27 18:20:25","open","",""
"1417","tuukkamustonen","2016-12-27 11:24:53","closed","tuukkamustonen","2016-12-28 10:21:25"
"1416","tilgovi","2016-12-24 01:25:19","closed","tilgovi","2016-12-27 02:12:18"
"1415","tilgovi","2016-12-23 04:21:12","closed","tilgovi","2016-12-23 18:56:07"
"1414","tilgovi","2016-12-22 23:37:18","closed","benoitc","2017-02-01 13:14:14"
"1413","catroot","2016-12-22 12:06:39","closed","berkerpeksag","2016-12-22 16:09:58"
"1412","bobh66","2016-12-22 04:25:15","closed","berkerpeksag","2016-12-22 04:52:23"
"1411","bobh66","2016-12-22 04:05:07","closed","berkerpeksag","2016-12-22 05:00:08"
"1410","MrKiven","2016-12-16 02:48:20","open","",""
"1409","gukoff","2016-12-15 15:33:06","open","",""
"1408","daker","2016-12-12 18:52:00","closed","tilgovi","2016-12-23 18:56:07"
"1407","GrayMissing","2016-12-07 12:33:24","closed","tilgovi","2016-12-21 18:58:21"
"1406","stefaang","2016-12-06 15:17:09","closed","benoitc","2016-12-21 19:48:08"
"1405","sakumar1","2016-12-03 18:18:29","open","",""
"1404","cochiseruhulessin","2016-12-03 03:06:51","closed","benoitc","2017-02-01 12:42:36"
"1403","emilhdiaz","2016-12-03 01:11:33","open","",""
"1402","fillest","2016-12-01 09:05:57","closed","fillest","2016-12-01 18:05:26"
"1401","timgraham","2016-11-26 13:52:04","closed","berkerpeksag","2016-11-26 14:04:44"
"1400","msoedov","2016-11-22 20:52:57","closed","benoitc","2017-01-27 13:55:58"
"1399","daker","2016-11-22 19:03:07","closed","berkerpeksag","2016-12-12 14:16:53"
"1398","daavve","2016-11-22 07:42:40","closed","berkerpeksag","2016-11-22 22:40:02"
"1397","brondsem","2016-11-18 16:59:41","closed","berkerpeksag","2016-12-12 14:16:56"
"1396","t10471","2016-11-18 11:07:03","closed","t10471","2016-11-21 04:45:40"
"1395","jonashaag","2016-11-18 10:49:19","closed","berkerpeksag","2016-11-18 11:27:35"
"1394","jonashaag","2016-11-18 10:37:27","closed","benoitc","2017-01-27 15:00:59"
"1393","surrealcristian","2016-11-17 21:41:40","open","",""
"1392","heitorsilva","2016-11-17 20:14:45","closed","heitorsilva","2016-11-18 12:38:04"
"1391","al4","2016-11-14 20:07:21","closed","al4","2016-11-15 18:18:05"
"1390","surrealcristian","2016-11-14 18:41:47","closed","surrealcristian","2016-11-22 15:11:39"
"1389","surrealcristian","2016-11-14 18:35:32","closed","surrealcristian","2016-11-22 15:11:18"
"1388","caervs","2016-11-10 01:48:41","open","",""
"1387","zhipcui","2016-11-08 06:25:47","closed","tilgovi","2016-12-24 00:02:51"
"1386","xiazhibin","2016-11-08 02:56:45","closed","xiazhibin","2016-11-09 02:32:39"
"1385","hramezani","2016-11-06 22:07:21","closed","berkerpeksag","2017-01-08 13:41:28"
"1384","mathiasverhoeven","2016-11-06 14:21:57","closed","mathiasverhoeven","2017-01-21 16:08:20"
"1383","patelkunal","2016-11-04 06:39:03","closed","tilgovi","2016-12-21 03:26:26"
"1382","tbarbugli","2016-11-03 14:10:09","closed","berkerpeksag","2017-01-23 05:07:45"
"1381","mlgh","2016-11-03 13:47:20","closed","berkerpeksag","2016-11-04 18:16:02"
"1380","arcivanov","2016-11-02 10:08:33","open","",""
"1379","di","2016-10-30 19:05:16","closed","di","2016-10-31 14:12:11"
"1378","mark-adams","2016-10-27 13:05:57","closed","benoitc","2016-10-28 06:35:24"
"1377","jltchiu","2016-10-21 16:18:50","closed","tilgovi","2016-12-21 03:24:21"
"1376","daavve","2016-10-19 19:11:09","closed","benoitc","2016-10-28 06:37:10"
"1375","rowillia","2016-10-17 18:34:57","closed","berkerpeksag","2016-10-17 21:15:40"
"1374","rowillia","2016-10-17 18:27:12","closed","benoitc","2017-01-27 14:43:28"
"1373","rowillia","2016-10-17 18:01:05","open","",""
"1372","jsferrei","2016-10-16 02:38:34","open","",""
"1371","jsferrei","2016-10-16 02:28:39","closed","jsferrei","2016-10-16 18:44:26"
"1370","sparr","2016-10-15 21:15:23","open","",""
"1369","mark-adams","2016-10-14 13:39:51","closed","benoitc","2016-10-25 13:43:51"
"1368","mark-adams","2016-10-14 13:27:42","closed","benoitc","2016-10-25 13:43:53"
"1367","jesper","2016-10-13 13:13:38","open","",""
"1366","tigrand","2016-10-12 02:51:44","closed","benoitc","2017-02-01 12:40:49"
"1365","fredrikhl","2016-10-11 14:30:42","closed","berkerpeksag","2017-02-04 22:19:39"
"1364","heyman","2016-10-10 12:42:21","open","",""
"1363","ammgws","2016-10-06 05:48:39","closed","tilgovi","2016-10-07 21:50:28"
"1362","jmagnusson","2016-10-03 22:28:23","open","",""
"1361","vishesh92","2016-10-03 20:22:12","closed","berkerpeksag","2016-12-28 16:02:33"
"1360","jmagnusson","2016-10-01 17:04:25","closed","benoitc","2017-01-27 14:04:45"
"1359","jmagnusson","2016-10-01 17:01:15","open","",""
"1358","northlandsnow","2016-09-28 10:52:46","open","",""
"1357","daavve","2016-09-28 06:11:17","closed","tilgovi","2016-10-13 20:01:40"
"1356","odedhar","2016-09-25 19:58:18","closed","benoitc","2016-11-21 08:34:10"
"1355","naegelin","2016-09-23 13:36:14","closed","berkerpeksag","2016-09-23 13:38:35"
"1354","hynek","2016-09-21 13:43:30","closed","hynek","2016-09-21 16:32:49"
"1353","rsm-gh","2016-09-21 08:48:25","closed","tilgovi","2016-12-21 03:21:42"
"1352","hynek","2016-09-20 14:04:58","closed","tilgovi","2016-10-01 20:03:56"
"1351","zhulongcheng","2016-09-11 08:21:08","closed","berkerpeksag","2016-09-11 08:56:29"
"1350","PBrockmann","2016-09-08 17:33:10","closed","PBrockmann","2016-09-09 14:11:56"
"1349","dimaqq","2016-09-08 09:46:29","open","",""
"1348","vickysam","2016-09-07 06:45:57","closed","berkerpeksag","2016-09-17 10:18:30"
