"number","created_by","created_at","state","commits","merged_by","merged_at"
"1465","hramezani","2017-02-19 09:01:52","open","2","",""
"1463","mark-adams","2017-02-14 13:58:16","closed","1","berkerpeksag","2017-02-14 16:49:38"
"1456","aconrad","2017-02-06 20:24:59","closed","1","benoitc","2017-02-09 13:51:26"
"1455","aconrad","2017-02-06 19:45:32","closed","1","berkerpeksag","2017-02-07 02:35:26"
"1454","berkerpeksag","2017-02-06 06:35:15","open","1","",""
"1453","berkerpeksag","2017-02-06 04:13:07","closed","3","berkerpeksag","2017-02-07 06:05:44"
"1450","hramezani","2017-01-30 21:53:43","open","2","",""
"1449","hramezani","2017-01-30 19:54:41","closed","1","",""
"1446","RyPeck","2017-01-26 04:06:06","closed","1","benoitc","2017-02-06 03:48:50"
"1444","berkerpeksag","2017-01-23 04:37:24","closed","1","berkerpeksag","2017-01-23 05:07:45"
"1443","berkerpeksag","2017-01-23 04:17:12","closed","1","berkerpeksag","2017-01-31 22:03:43"
"1441","berkerpeksag","2017-01-22 04:49:54","closed","1","berkerpeksag","2017-01-22 05:17:29"
"1438","hramezani","2017-01-17 17:31:16","closed","1","berkerpeksag","2017-01-17 17:37:03"
"1437","hramezani","2017-01-16 20:39:26","closed","1","berkerpeksag","2017-01-16 21:55:46"
"1432","hramezani","2017-01-15 14:01:08","closed","2","berkerpeksag","2017-01-15 20:34:24"
"1431","berkerpeksag","2017-01-14 21:31:32","open","1","",""
"1430","berkerpeksag","2017-01-13 20:26:32","closed","1","berkerpeksag","2017-02-06 04:32:15"
"1428","bsergean","2017-01-11 19:31:15","open","1","",""
"1426","saeedghx68","2017-01-08 21:29:19","closed","1","berkerpeksag","2017-01-11 20:07:21"
"1425","hramezani","2017-01-08 20:16:33","closed","2","berkerpeksag","2017-01-13 09:08:52"
"1424","daavve","2017-01-07 17:06:55","closed","2","berkerpeksag","2017-01-08 01:03:08"
"1418","fafhrd91","2016-12-27 18:20:25","open","1","",""
"1416","tilgovi","2016-12-24 01:25:19","closed","1","tilgovi","2016-12-27 02:12:18"
"1415","tilgovi","2016-12-23 04:21:12","closed","1","tilgovi","2016-12-23 18:56:07"
"1414","tilgovi","2016-12-22 23:37:18","closed","2","benoitc","2017-02-01 13:14:14"
"1412","bobh66","2016-12-22 04:25:15","closed","1","berkerpeksag","2016-12-22 04:52:23"
"1410","MrKiven","2016-12-16 02:48:20","open","1","",""
"1406","stefaang","2016-12-06 15:17:09","closed","5","benoitc","2016-12-21 19:48:08"
"1401","timgraham","2016-11-26 13:52:04","closed","1","berkerpeksag","2016-11-26 14:04:44"
"1399","daker","2016-11-22 19:03:07","closed","4","berkerpeksag","2016-12-12 14:16:53"
"1398","daavve","2016-11-22 07:42:40","closed","2","berkerpeksag","2016-11-22 22:40:02"
"1396","t10471","2016-11-18 11:07:03","closed","0","",""
"1395","jonashaag","2016-11-18 10:49:19","closed","1","berkerpeksag","2016-11-18 11:27:35"
"1394","jonashaag","2016-11-18 10:37:27","closed","3","benoitc","2017-01-27 15:00:59"
"1389","surrealcristian","2016-11-14 18:35:32","closed","1","",""
"1387","zhipcui","2016-11-08 06:25:47","closed","1","tilgovi","2016-12-24 00:02:51"
"1385","hramezani","2016-11-06 22:07:21","closed","4","berkerpeksag","2017-01-08 13:41:28"
"1384","mathiasverhoeven","2016-11-06 14:21:57","closed","0","",""
"1381","mlgh","2016-11-03 13:47:20","closed","1","berkerpeksag","2016-11-04 18:16:02"
"1379","di","2016-10-30 19:05:16","closed","0","",""
"1378","mark-adams","2016-10-27 13:05:57","closed","2","benoitc","2016-10-28 06:35:24"
"1376","daavve","2016-10-19 19:11:09","closed","4","benoitc","2016-10-28 06:37:10"
"1375","rowillia","2016-10-17 18:34:57","closed","1","berkerpeksag","2016-10-17 21:15:40"
"1374","rowillia","2016-10-17 18:27:12","closed","1","",""
"1373","rowillia","2016-10-17 18:01:05","open","3","",""
"1371","jsferrei","2016-10-16 02:28:39","closed","3","",""
"1369","mark-adams","2016-10-14 13:39:51","closed","3","benoitc","2016-10-25 13:43:51"
"1363","ammgws","2016-10-06 05:48:39","closed","1","tilgovi","2016-10-07 21:50:28"
"1361","vishesh92","2016-10-03 20:22:12","closed","2","berkerpeksag","2016-12-28 16:02:33"
"1357","daavve","2016-09-28 06:11:17","closed","3","tilgovi","2016-10-13 20:01:40"
"1354","hynek","2016-09-21 13:43:30","closed","0","",""
"1351","zhulongcheng","2016-09-11 08:21:08","closed","1","berkerpeksag","2016-09-11 08:56:29"
"1348","vickysam","2016-09-07 06:45:57","closed","5","",""
"1347","vickysam","2016-09-05 14:24:35","closed","2","",""
"1345","vickysam","2016-09-05 12:28:52","closed","1","",""
"1344","kirubakaran","2016-08-31 15:40:08","closed","1","berkerpeksag","2016-10-15 12:18:49"
"1339","zimathias","2016-08-27 23:39:21","closed","3","",""
"1334","ptbrowne","2016-08-23 11:22:23","closed","4","tilgovi","2016-10-03 19:52:20"
"1329","fillest","2016-08-12 00:44:48","closed","4","tilgovi","2016-12-20 23:20:56"
"1326","pombredanne","2016-08-08 17:13:32","closed","1","benoitc","2016-10-16 15:49:59"
"1316","jjb","2016-07-30 14:38:54","closed","1","tilgovi","2016-07-31 04:59:30"
"1314","suriya","2016-07-28 07:25:12","closed","1","benoitc","2016-07-28 10:20:38"
"1313","tobgu","2016-07-27 20:53:19","closed","3","berkerpeksag","2016-09-17 09:49:05"
"1310","tilgovi","2016-07-19 16:31:25","closed","1","tilgovi","2016-12-27 22:01:21"
"1309","benoitc","2016-07-17 19:00:45","closed","3","",""
"1304","moriyoshi","2016-07-07 10:23:23","closed","2","tilgovi","2016-07-16 19:15:23"
"1301","hachreak","2016-06-29 12:50:57","open","1","",""
"1297","gfreezy","2016-06-23 13:35:49","closed","1","tilgovi","2016-06-26 21:46:26"
"1291","vivianho","2016-06-02 18:11:50","closed","2","benoitc","2016-06-04 00:18:11"
"1290","benoitc","2016-05-31 16:26:55","closed","1","benoitc","2016-06-03 08:20:49"
"1288","berkerpeksag","2016-05-30 19:19:34","open","1","",""
"1286","adamchainz","2016-05-29 18:35:46","closed","1","berkerpeksag","2016-05-29 18:46:37"
"1283","vishesh92","2016-05-24 22:10:28","open","2","",""
"1281","edgarcosta","2016-05-24 13:14:48","closed","1","tilgovi","2016-05-26 22:29:51"
"1279","edmorley","2016-05-23 17:46:59","closed","1","benoitc","2016-05-23 18:28:41"
"1277","benoitc","2016-05-20 22:15:47","closed","1","benoitc","2016-05-21 08:53:20"
"1276","benoitc","2016-05-20 21:10:57","closed","1","benoitc","2016-05-21 08:51:41"
"1275","mistercrunch","2016-05-20 17:18:05","closed","1","",""
"1274","benoitc","2016-05-20 13:55:59","closed","1","benoitc","2016-05-20 13:56:22"
"1273","urbaniak","2016-05-19 10:29:38","closed","1","benoitc","2016-05-20 22:11:11"
"1270","benoitc","2016-05-18 09:30:11","closed","1","benoitc","2016-05-20 13:56:35"
"1266","benoitc","2016-05-15 00:21:59","closed","1","benoitc","2016-05-20 13:55:46"
"1265","benoitc","2016-05-14 16:44:09","closed","1","",""
"1263","benoitc","2016-05-14 08:51:31","closed","1","benoitc","2016-05-14 21:11:17"
"1262","vishesh92","2016-05-13 13:33:37","closed","1","berkerpeksag","2016-05-13 14:05:38"
"1261","benoitc","2016-05-13 09:10:12","closed","2","benoitc","2016-05-14 23:53:26"
"1260","daavve","2016-05-12 07:35:44","closed","2","tilgovi","2016-05-13 16:49:38"
"1257","benoitc","2016-05-10 07:11:03","closed","1","benoitc","2016-05-10 19:14:47"
"1254","jgehrcke","2016-05-04 18:04:19","closed","2","benoitc","2016-05-11 19:58:06"
"1251","pgjones","2016-05-03 10:57:12","closed","1","berkerpeksag","2016-05-03 11:15:36"
"1248","gescheit","2016-04-29 15:00:21","closed","1","benoitc","2016-04-29 15:09:45"
"1245","berkerpeksag","2016-04-14 21:19:01","closed","1","berkerpeksag","2016-04-14 21:40:04"
"1241","irvind","2016-04-09 18:04:20","closed","3","berkerpeksag","2016-04-14 21:49:00"
"1239","methane","2016-04-01 09:46:30","closed","1","",""
"1235","MarSoft","2016-03-24 15:11:50","closed","1","tilgovi","2016-03-24 21:15:19"
"1232","strife25","2016-03-22 14:21:34","closed","2","",""
"1231","benoitc","2016-03-22 10:34:27","closed","1","benoitc","2016-03-22 12:07:30"
"1230","tilgovi","2016-03-21 00:39:23","closed","1","tilgovi","2016-03-25 20:18:48"
"1229","benoitc","2016-03-18 22:17:02","closed","7","",""
"1228","paulnivin","2016-03-18 18:40:49","closed","1","tilgovi","2016-03-20 01:18:28"
"1226","zx-zheng","2016-03-16 06:57:02","closed","1","berkerpeksag","2016-03-16 08:37:01"
"1225","seamile","2016-03-16 06:01:19","closed","0","",""
"1223","mdemmitt-lyft","2016-03-14 21:51:13","closed","1","",""
"1222","tilgovi","2016-03-13 23:57:08","closed","1","tilgovi","2016-03-25 20:19:21"
"1221","tilgovi","2016-03-13 23:24:34","closed","1","tilgovi","2016-03-13 23:59:02"
"1220","tilgovi","2016-03-13 22:57:54","closed","2","tilgovi","2016-03-13 23:28:53"
"1219","tilgovi","2016-03-13 21:50:01","closed","1","tilgovi","2016-03-13 23:34:04"
"1218","tilgovi","2016-03-13 21:39:30","closed","1","tilgovi","2016-03-25 20:22:33"
"1217","tilgovi","2016-03-13 21:39:20","closed","1","tilgovi","2016-03-22 17:37:13"
"1216","ihatehandles","2016-03-11 00:19:49","closed","2","tilgovi","2016-03-13 21:54:15"
"1213","stu-zumper","2016-03-08 01:59:12","closed","1","benoitc","2016-03-08 02:08:10"
"1211","jgehrcke","2016-02-24 13:17:26","closed","1","",""
"1209","arnavk","2016-02-16 07:54:21","closed","1","berkerpeksag","2016-02-17 17:50:06"
"1208","timgraham","2016-02-15 16:22:45","closed","1","",""
"1207","femesq","2016-02-14 23:36:19","closed","1","",""
"1205","kennethreitz","2016-02-11 23:32:31","closed","2","benoitc","2016-02-11 23:53:52"
"1203","IlianIliev","2016-02-10 12:17:16","closed","1","",""
"1201","bloodearnest","2016-02-09 12:20:43","closed","1","benoitc","2016-02-09 15:40:54"
"1197","kaniini","2016-02-01 15:24:18","closed","1","berkerpeksag","2016-02-02 23:56:56"
"1193","urbaniak","2016-01-27 10:34:10","closed","1","tilgovi","2016-02-03 02:04:40"
"1188","bloodearnest","2016-01-22 14:21:37","closed","3","tilgovi","2016-02-19 17:10:34"
"1185","paulnivin","2016-01-20 19:23:57","closed","1","",""
"1182","MarSoft","2016-01-09 12:04:20","closed","1","benoitc","2016-01-22 13:59:20"
"1178","tuco86","2016-01-04 13:14:24","closed","1","berkerpeksag","2016-01-04 14:31:07"
"1176","wbolster","2015-12-31 14:04:35","closed","0","",""
"1175","benoitc","2015-12-31 13:53:30","closed","2","benoitc","2016-01-02 13:35:08"
"1172","benoitc","2015-12-29 14:13:42","closed","1","benoitc","2015-12-29 14:13:49"
"1169","benoitc","2015-12-28 13:23:22","closed","2","",""
"1168","benoitc","2015-12-28 13:03:19","closed","1","benoitc","2015-12-28 21:59:24"
"1167","benoitc","2015-12-28 12:03:20","closed","1","benoitc","2015-12-28 19:35:36"
"1165","kvikshaug","2015-12-16 16:03:43","closed","1","",""
"1163","molivier","2015-12-14 16:42:12","closed","1","berkerpeksag","2015-12-14 23:13:58"
"1153","mtustin-handy","2015-11-25 15:41:37","closed","1","benoitc","2015-11-25 15:53:39"
"1149","benoitc","2015-11-20 10:15:00","closed","2","benoitc","2015-11-21 11:10:27"
"1146","canni","2015-11-16 13:56:12","open","1","",""
"1144","edmorley","2015-11-10 14:14:39","closed","1","berkerpeksag","2015-11-11 00:28:58"
"1141","irachex","2015-11-04 18:48:42","closed","1","berkerpeksag","2015-11-04 19:50:23"
"1137","abesto","2015-10-30 10:26:56","closed","1","berkerpeksag","2015-11-02 10:15:38"
"1136","shrkw","2015-10-28 03:09:29","closed","1","benoitc","2015-11-16 14:37:09"
"1133","bungoume","2015-10-21 17:15:08","closed","1","berkerpeksag","2015-10-21 17:52:08"
"1132","bungoume","2015-10-21 14:16:24","closed","1","tilgovi","2015-10-22 18:37:05"
"1131","smilliken","2015-10-18 21:21:56","closed","1","",""
"1128","jamadden","2015-10-15 23:12:12","closed","1","tilgovi","2015-10-26 17:41:21"
"1127","nickstenning","2015-10-15 12:26:11","closed","1","benoitc","2015-10-15 14:36:17"
"1126","xtao","2015-10-15 03:04:13","closed","1","",""
"1121","emamirazavi","2015-10-03 07:14:23","closed","1","",""
"1118","adamweiner","2015-09-23 19:51:39","closed","1","",""
"1117","lovedboy","2015-09-22 13:10:48","closed","1","berkerpeksag","2015-09-22 13:37:35"
"1115","benoitc","2015-09-16 04:15:25","closed","1","tilgovi","2015-09-24 19:20:24"
"1112","tnir","2015-09-08 17:07:53","closed","2","berkerpeksag","2015-09-09 09:04:38"
"1110","MatMoore","2015-09-03 15:24:07","open","2","",""
"1106","keakon","2015-08-26 07:07:14","closed","1","tilgovi","2015-10-08 17:18:09"
"1105","tumb1er","2015-08-25 13:16:31","closed","1","benoitc","2015-08-25 13:23:49"
"1104","vihangd","2015-08-25 05:37:25","closed","1","berkerpeksag","2015-08-25 05:42:49"
"1102","ephes","2015-08-22 15:50:54","closed","1","berkerpeksag","2015-08-31 03:55:04"
"1097","Ashald","2015-08-11 19:00:34","closed","0","",""
"1096","Ashald","2015-08-11 18:53:58","open","0","",""
"1095","danc86","2015-08-11 07:13:10","closed","1","tilgovi","2015-12-26 22:35:55"
"1094","tilgovi","2015-08-06 04:13:09","closed","1","benoitc","2015-11-23 08:24:46"
"1092","tumb1er","2015-08-03 13:27:39","closed","7","",""
"1089","femesq","2015-07-24 02:42:10","closed","5","",""
"1088","benoitc","2015-07-22 04:29:03","closed","1","benoitc","2015-07-23 21:50:45"
"1085","erydo","2015-07-14 00:37:07","open","1","",""
"1084","erydo","2015-07-13 21:46:20","closed","8","",""
"1083","tilgovi","2015-07-13 21:43:30","closed","1","berkerpeksag","2015-07-14 12:18:52"
"1082","tilgovi","2015-07-13 19:53:32","closed","2","berkerpeksag","2015-07-13 22:40:43"
"1080","malept","2015-07-13 01:38:52","closed","1","benoitc","2015-07-13 09:04:57"
"1079","darkrain42","2015-07-12 21:12:26","closed","1","benoitc","2016-01-22 14:17:54"
"1078","erydo","2015-07-12 17:38:08","closed","3","benoitc","2015-08-19 19:02:52"
"1076","tilgovi","2015-07-11 20:36:49","closed","2","",""
"1075","dmdm","2015-07-10 21:41:31","open","3","",""
"1074","slava-sh","2015-07-09 11:40:09","closed","0","",""
"1072","berkerpeksag","2015-07-08 10:43:21","closed","1","berkerpeksag","2016-01-05 23:54:59"
"1071","wosc","2015-07-08 08:20:38","closed","1","benoitc","2015-07-08 18:55:34"
"1069","brk0v","2015-07-07 20:49:26","closed","1","berkerpeksag","2015-07-08 09:16:24"
"1068","slava-sh","2015-07-07 08:14:19","closed","0","berkerpeksag","2015-07-09 07:59:29"
"1066","urbaniak","2015-07-04 00:44:57","closed","1","benoitc","2015-07-04 08:17:52"
"1064","berkerpeksag","2015-07-03 04:47:06","closed","9","tilgovi","2015-07-07 19:36:54"
"1052","jaingaurav","2015-06-21 21:17:36","closed","0","berkerpeksag","2015-06-22 10:41:49"
"1048","carljm","2015-06-15 23:01:03","closed","1","benoitc","2015-06-16 11:36:40"
"1042","brijeshb42","2015-06-04 07:18:37","closed","0","tilgovi","2015-07-09 06:33:31"
"1041","mkorenkov","2015-05-29 05:33:12","closed","1","",""
"1039","StevenMaude","2015-05-27 13:36:25","closed","0","tilgovi","2015-05-27 16:34:19"
"1037","Starefossen","2015-05-21 09:34:05","closed","1","berkerpeksag","2015-05-22 02:01:21"
"1033","ccl0326","2015-05-19 10:22:59","closed","1","berkerpeksag","2015-05-23 12:49:20"
"1031","jhekkanen","2015-05-15 21:35:33","closed","1","benoitc","2015-05-20 10:56:22"
