"number","created_by","created_at","state","commits","merged_by","merged_at"
"3016","DenisCarriere","2017-02-19 07:56:05","closed","1","",""
"3015","falsyvalues","2017-02-16 20:51:27","closed","1","falsyvalues","2017-02-17 21:15:53"
"3013","passabilities","2017-02-15 21:30:55","closed","0","",""
"3012","Loilo","2017-02-15 21:11:41","closed","1","",""
"3010","falsyvalues","2017-02-15 11:04:14","closed","1","jdalton","2017-02-15 15:20:49"
"3008","falsyvalues","2017-02-15 08:54:44","closed","1","jdalton","2017-02-15 09:21:25"
"3007","falsyvalues","2017-02-15 08:53:06","closed","1","jdalton","2017-02-15 09:16:56"
"3002","falsyvalues","2017-02-13 10:07:15","closed","1","jdalton","2017-02-13 16:05:18"
"3001","falsyvalues","2017-02-13 09:57:30","closed","1","jdalton","2017-02-13 16:03:42"
"3000","falsyvalues","2017-02-13 09:18:36","closed","1","jdalton","2017-02-13 16:02:47"
"2999","falsyvalues","2017-02-13 08:41:29","closed","1","jdalton","2017-02-13 16:01:40"
"2996","wikibootup","2017-02-11 16:24:13","closed","1","jdalton","2017-02-11 19:42:20"
"2993","falsyvalues","2017-02-09 19:39:38","closed","1","jdalton","2017-02-09 21:54:29"
"2992","falsyvalues","2017-02-09 19:15:43","closed","1","jdalton","2017-02-09 19:26:59"
"2991","falsyvalues","2017-02-09 19:14:16","closed","1","jdalton","2017-02-09 19:27:46"
"2988","falsyvalues","2017-02-09 14:30:20","closed","1","jdalton","2017-02-09 16:21:11"
"2987","falsyvalues","2017-02-09 12:40:14","closed","1","",""
"2986","falsyvalues","2017-02-09 10:58:22","closed","1","jdalton","2017-02-09 16:19:32"
"2985","falsyvalues","2017-02-09 10:53:50","closed","1","jdalton","2017-02-09 16:20:04"
"2984","aozgaa","2017-02-08 19:42:58","closed","1","",""
"2975","Cinderella-Man","2017-02-05 06:23:23","closed","1","",""
"2971","ecmadao","2017-02-03 12:34:40","closed","1","jdalton","2017-02-03 17:55:34"
"2958","102","2017-01-27 11:51:58","closed","1","jdalton","2017-01-27 14:22:59"
"2948","kramsamujh","2017-01-24 15:48:47","closed","2","",""
"2941","jure","2017-01-19 10:34:47","closed","1","jdalton","2017-01-19 18:35:19"
"2940","guypeer8","2017-01-18 21:06:02","closed","0","",""
"2932","bertyhell","2017-01-13 18:51:25","closed","4","jdalton","2017-01-16 00:27:42"
"2925","bjarneo","2017-01-11 12:45:23","closed","0","jdalton","2017-01-11 15:53:30"
"2914","postama","2017-01-04 18:54:09","closed","1","jdalton","2017-01-04 18:59:13"
"2897","jdalton","2016-12-20 22:36:32","closed","1","jdalton","2016-12-20 22:36:38"
"2891","bigopon","2016-12-17 13:40:01","closed","1","",""
"2890","NTrukhanovets","2016-12-16 08:30:03","closed","0","",""
"2884","blackhawk389","2016-12-12 11:57:33","closed","2","",""
"2882","SathyaMT","2016-12-09 14:04:16","closed","2","",""
"2878","finnigantime","2016-12-08 02:45:06","closed","5","",""
"2877","finnigantime","2016-12-08 01:35:12","closed","4","",""
"2867","jdalton","2016-12-06 06:11:25","closed","1","jdalton","2016-12-06 06:11:29"
"2862","fhalde","2016-12-03 15:04:50","closed","1","",""
"2857","davewasmer","2016-12-01 00:13:38","closed","1","jdalton","2016-12-01 21:46:04"
"2856","greenkeeper[bot]","2016-11-29 21:33:07","closed","1","jdalton","2016-11-29 21:51:12"
"2849","lovasoa","2016-11-24 20:09:28","closed","2","jdalton","2016-11-24 21:12:14"
"2839","danielehrlich","2016-11-19 20:18:59","closed","9","",""
"2837","stephenlautier","2016-11-19 13:20:37","closed","5","",""
"2836","demns","2016-11-19 11:29:05","closed","2","",""
"2835","jdalton","2016-11-18 17:46:37","closed","1","jdalton","2016-11-18 17:46:41"
"2834","adeyahya","2016-11-18 10:40:03","closed","1","",""
"2803","greenkeeper[bot]","2016-11-10 21:21:52","closed","1","jdalton","2016-11-10 21:28:12"
"2802","seth2810","2016-11-10 14:19:41","closed","0","",""
"2794","avivr","2016-11-06 22:55:50","closed","4","jdalton","2016-11-07 00:43:26"
"2793","jhen0409","2016-11-06 18:57:12","closed","0","jdalton","2016-11-06 19:11:01"
"2788","galenjiang","2016-11-04 11:19:23","closed","1","",""
"2783","jdalton","2016-11-03 15:20:13","closed","1","jdalton","2016-11-03 15:20:21"
"2780","jdalton","2016-11-02 07:49:53","closed","1","jdalton","2016-11-02 07:50:01"
"2779","mfix22","2016-11-01 17:19:01","closed","1","",""
"2778","greenkeeper[bot]","2016-11-01 06:38:53","closed","1","",""
"2777","greenkeeper[bot]","2016-11-01 06:16:22","closed","1","jdalton","2016-11-01 07:55:16"
"2773","jdalton","2016-10-31 05:49:22","closed","1","jdalton","2016-10-31 05:49:27"
"2771","greenkeeperio-bot","2016-10-30 00:16:45","closed","1","jdalton","2016-10-30 01:29:41"
"2767","deser","2016-10-27 13:23:49","closed","1","",""
"2766","borisdiakur","2016-10-27 09:45:26","closed","0","",""
"2763","aboutqx","2016-10-27 07:20:17","closed","0","",""
"2762","jdalton","2016-10-27 07:08:28","closed","1","jdalton","2016-10-27 07:08:32"
"2757","jdalton","2016-10-25 21:22:50","closed","1","jdalton","2016-10-25 21:23:22"
"2756","jdalton","2016-10-25 21:22:24","closed","1","jdalton","2016-10-25 21:22:28"
"2755","gibson042","2016-10-25 20:07:37","closed","3","jdalton","2016-10-25 20:55:47"
"2751","jdalton","2016-10-24 17:15:27","closed","1","jdalton","2016-10-24 17:15:34"
"2745","jsoref","2016-10-20 15:39:34","closed","4","jdalton","2016-10-20 19:03:13"
"2743","jdalton","2016-10-19 15:02:04","closed","3","",""
"2742","murrayju","2016-10-18 21:08:28","closed","1","",""
"2741","sfinktah","2016-10-17 05:33:48","closed","4","",""
"2740","sfinktah","2016-10-17 05:15:00","closed","5","",""
"2737","pvnr0082t","2016-10-16 11:55:49","closed","1","",""
"2730","jdalton","2016-10-14 01:17:17","closed","1","jdalton","2016-10-14 01:17:24"
"2717","jdalton","2016-10-07 22:15:29","closed","1","jdalton","2016-10-07 22:15:35"
"2716","bhousel","2016-10-07 19:44:15","closed","2","",""
"2708","greenkeeperio-bot","2016-10-06 04:06:39","closed","3","",""
