"number","created_by","created_at","state","closed_by","closed_at"
"2035","FxIII","2017-02-20 12:18:13","open","",""
"2034","colemanja91","2017-02-19 13:39:59","open","",""
"2033","Aaronhrndz","2017-02-14 10:18:46","open","",""
"2032","amarco90","2017-02-13 19:03:55","closed","Tarrasch","2017-02-14 04:53:30"
"2031","Aaronhrndz","2017-02-13 16:16:03","closed","Aaronhrndz","2017-02-14 09:23:59"
"2030","Tarrasch","2017-02-13 10:25:27","open","",""
"2029","GunasekaranR","2017-02-13 07:12:40","closed","Tarrasch","2017-02-13 10:13:23"
"2028","GunasekaranR","2017-02-13 04:38:37","closed","Tarrasch","2017-02-13 10:13:46"
"2027","tresellefreshers2016","2017-02-13 04:32:33","closed","Tarrasch","2017-02-13 10:14:00"
"2026","ehdr","2017-02-12 11:11:40","closed","ehdr","2017-02-19 17:17:58"
"2025","riga","2017-02-10 16:52:37","open","",""
"2024","riga","2017-02-10 16:10:05","open","",""
"2023","Tarrasch","2017-02-10 04:28:30","closed","Tarrasch","2017-02-10 06:17:32"
"2022","steveb-cirina","2017-02-09 19:45:34","open","",""
"2021","sklarsa","2017-02-09 16:36:16","open","",""
"2020","pkova","2017-02-09 11:04:41","closed","pkova","2017-02-09 13:30:06"
"2019","steveb-cirina","2017-02-09 00:45:46","open","",""
"2018","freider","2017-02-06 16:02:27","closed","Tarrasch","2017-02-10 10:14:32"
"2017","dlstadther","2017-02-06 14:12:02","closed","dlstadther","2017-02-09 13:11:23"
"2016","dlstadther","2017-02-06 13:54:39","closed","Tarrasch","2017-02-09 02:30:30"
"2015","dlstadther","2017-02-06 13:33:01","open","",""
"2014","mtoriumi","2017-02-05 12:56:20","closed","erikbern","2017-02-05 17:50:57"
"2013","riga","2017-02-03 19:40:08","closed","Tarrasch","2017-02-06 02:31:52"
"2012","mtoriumi","2017-02-03 14:53:42","open","",""
"2011","sbliven","2017-02-03 14:14:15","open","sbliven",""
"2010","sbliven","2017-02-03 09:56:00","closed","Tarrasch","2017-02-04 02:51:58"
"2009","Tarrasch","2017-02-03 08:43:17","closed","Tarrasch","2017-02-09 09:47:25"
"2008","steveb-cirina","2017-01-31 01:42:30","open","",""
"2007","FxIII","2017-01-28 08:45:54","closed","Tarrasch","2017-02-02 02:30:49"
"2006","snorfalorpagus","2017-01-27 10:41:17","closed","Tarrasch","2017-02-02 02:31:18"
"2005","slarrain","2017-01-26 19:34:37","open","",""
"2004","Benyuel","2017-01-26 17:22:30","closed","erikbern","2017-01-26 19:25:55"
"2003","dlstadther","2017-01-26 13:00:29","closed","Tarrasch","2017-02-02 02:40:12"
"2002","nmb10","2017-01-26 08:28:36","closed","Tarrasch","2017-02-02 03:00:19"
"2001","sanxiyn","2017-01-26 03:42:19","closed","Tarrasch","2017-02-02 02:40:47"
"2000","Tarrasch","2017-01-25 09:04:29","closed","Tarrasch","2017-02-03 07:08:50"
"1999","wugh","2017-01-25 06:11:03","open","",""
"1998","smehan","2017-01-25 02:32:03","open","",""
"1997","Tarrasch","2017-01-24 08:27:05","closed","Tarrasch","2017-02-02 08:37:06"
"1996","hnykda","2017-01-23 10:03:52","closed","hnykda","2017-01-23 10:26:51"
"1995","Tarrasch","2017-01-23 08:22:08","closed","Tarrasch","2017-01-25 06:31:52"
"1994","zwotzie","2017-01-22 20:45:52","closed","Tarrasch","2017-02-02 07:47:43"
"1993","riga","2017-01-19 15:32:25","closed","Tarrasch","2017-02-03 02:46:49"
"1992","davemt","2017-01-19 03:03:29","closed","Tarrasch","2017-02-02 07:50:16"
"1991","tgalery","2017-01-18 15:41:56","closed","Tarrasch","2017-01-19 09:47:59"
"1990","Tarrasch","2017-01-18 02:17:33","closed","Tarrasch","2017-01-18 08:15:36"
"1989","hnykda","2017-01-17 15:44:23","closed","hnykda","2017-01-23 09:50:11"
"1988","bsao","2017-01-17 13:50:35","open","",""
"1987","riga","2017-01-16 19:37:19","closed","Tarrasch","2017-01-18 02:21:14"
"1986","nmb10","2017-01-12 16:51:29","closed","Tarrasch","2017-01-20 02:13:25"
"1985","cynipe","2017-01-12 09:09:44","open","",""
"1984","sd2k","2017-01-11 13:08:17","open","",""
"1983","rhaarm","2017-01-09 17:57:46","open","",""
"1982","labianchin","2017-01-09 07:47:39","open","",""
"1981","tonicebrian","2017-01-04 14:41:08","closed","Tarrasch","2017-01-09 02:25:41"
"1980","ehdr","2017-01-03 21:28:02","open","",""
"1979","jsivak","2017-01-03 18:20:46","open","",""
"1978","Tarrasch","2017-01-03 08:24:33","closed","Tarrasch","2017-01-05 04:09:59"
"1977","Tarrasch","2017-01-03 07:46:23","closed","Tarrasch","2017-01-04 02:07:09"
"1976","henryrizzi","2016-12-30 15:58:45","open","",""
"1975","Tarrasch","2016-12-28 10:23:38","closed","Tarrasch","2017-01-05 02:13:51"
"1974","Tarrasch","2016-12-28 08:25:39","closed","Tarrasch","2017-01-03 02:32:36"
"1973","Tarrasch","2016-12-28 04:52:15","closed","Tarrasch","2016-12-28 06:56:06"
"1972","aliavni","2016-12-23 19:36:09","closed","Tarrasch","2016-12-26 02:34:04"
"1971","sbj-ss","2016-12-23 16:49:10","closed","Tarrasch","2016-12-26 02:33:04"
"1970","MarkusShepherd","2016-12-23 09:07:03","open","",""
"1969","Pcosmin","2016-12-21 17:09:04","open","",""
"1968","kierkegaard13","2016-12-21 16:57:44","closed","Tarrasch","2016-12-26 02:31:33"
"1967","Tarrasch","2016-12-21 08:54:40","closed","Tarrasch","2016-12-21 10:22:05"
