"number","created_by","created_at","state","commits","merged_by","merged_at"
"2034","colemanja91","2017-02-19 13:39:59","open","6","",""
"2033","Aaronhrndz","2017-02-14 10:18:46","open","4","",""
"2032","amarco90","2017-02-13 19:03:55","closed","2","Tarrasch","2017-02-14 04:53:30"
"2031","Aaronhrndz","2017-02-13 16:16:03","closed","3","",""
"2030","Tarrasch","2017-02-13 10:25:27","open","1","",""
"2026","ehdr","2017-02-12 11:11:40","closed","1","",""
"2025","riga","2017-02-10 16:52:37","open","1","",""
"2023","Tarrasch","2017-02-10 04:28:29","closed","1","Tarrasch","2017-02-10 06:17:32"
"2021","sklarsa","2017-02-09 16:36:16","open","2","",""
"2020","pkova","2017-02-09 11:04:41","closed","1","",""
"2018","freider","2017-02-06 16:02:27","closed","2","Tarrasch","2017-02-10 10:14:32"
"2016","dlstadther","2017-02-06 13:54:39","closed","1","Tarrasch","2017-02-09 02:30:30"
"2015","dlstadther","2017-02-06 13:33:01","open","3","",""
"2013","riga","2017-02-03 19:40:08","closed","14","Tarrasch","2017-02-06 02:31:52"
"2012","mtoriumi","2017-02-03 14:53:42","open","1","",""
"2011","sbliven","2017-02-03 14:14:15","open","4","",""
"2009","Tarrasch","2017-02-03 08:43:17","closed","1","Tarrasch","2017-02-09 09:47:25"
"2007","FxIII","2017-01-28 08:45:54","closed","1","Tarrasch","2017-02-02 02:30:49"
"2006","snorfalorpagus","2017-01-27 10:41:17","closed","1","Tarrasch","2017-02-02 02:31:18"
"2004","Benyuel","2017-01-26 17:22:30","closed","1","erikbern","2017-01-26 19:25:55"
"2003","dlstadther","2017-01-26 13:00:29","closed","1","Tarrasch","2017-02-02 02:40:12"
"2002","nmb10","2017-01-26 08:28:36","closed","5","Tarrasch","2017-02-02 03:00:19"
"2000","Tarrasch","2017-01-25 09:04:29","closed","2","Tarrasch","2017-02-03 07:08:50"
"1999","wugh","2017-01-25 06:11:03","open","1","",""
"1998","smehan","2017-01-25 02:32:03","open","1","",""
"1997","Tarrasch","2017-01-24 08:27:05","closed","2","Tarrasch","2017-02-02 08:37:06"
"1995","Tarrasch","2017-01-23 08:22:08","closed","1","Tarrasch","2017-01-25 06:31:52"
"1994","zwotzie","2017-01-22 20:45:52","closed","2","Tarrasch","2017-02-02 07:47:43"
"1993","riga","2017-01-19 15:32:25","closed","11","Tarrasch","2017-02-03 02:46:49"
"1992","davemt","2017-01-19 03:03:29","closed","2","Tarrasch","2017-02-02 07:50:16"
"1990","Tarrasch","2017-01-18 02:17:33","closed","1","Tarrasch","2017-01-18 08:15:36"
"1987","riga","2017-01-16 19:37:19","closed","3","Tarrasch","2017-01-18 02:21:14"
"1986","nmb10","2017-01-12 16:51:29","closed","3","Tarrasch","2017-01-20 02:13:25"
"1982","labianchin","2017-01-09 07:47:39","open","1","",""
"1981","tonicebrian","2017-01-04 14:41:08","closed","2","Tarrasch","2017-01-09 02:25:41"
"1980","ehdr","2017-01-03 21:28:02","open","2","",""
"1979","jsivak","2017-01-03 18:20:46","open","3","",""
"1978","Tarrasch","2017-01-03 08:24:33","closed","1","Tarrasch","2017-01-05 04:09:59"
"1977","Tarrasch","2017-01-03 07:46:23","closed","1","Tarrasch","2017-01-04 02:07:09"
"1976","henryrizzi","2016-12-30 15:58:45","open","1","",""
"1975","Tarrasch","2016-12-28 10:23:38","closed","1","Tarrasch","2017-01-05 02:13:51"
"1974","Tarrasch","2016-12-28 08:25:39","closed","1","Tarrasch","2017-01-03 02:32:36"
"1973","Tarrasch","2016-12-28 04:52:15","closed","1","Tarrasch","2016-12-28 06:56:06"
"1972","aliavni","2016-12-23 19:36:09","closed","1","Tarrasch","2016-12-26 02:34:04"
"1971","sbj-ss","2016-12-23 16:49:10","closed","1","Tarrasch","2016-12-26 02:33:03"
"1970","MarkusShepherd","2016-12-23 09:07:03","open","1","",""
"1968","kierkegaard13","2016-12-21 16:57:44","closed","4","Tarrasch","2016-12-26 02:31:33"
"1967","Tarrasch","2016-12-21 08:54:40","closed","1","",""
"1965","Tarrasch","2016-12-20 03:21:01","closed","2","Tarrasch","2016-12-23 02:51:20"
"1963","Tarrasch","2016-12-16 04:59:46","closed","1","Tarrasch","2016-12-17 01:43:06"
"1962","dlstadther","2016-12-15 15:10:50","closed","4","dlstadther","2017-01-26 12:01:19"
"1960","Tarrasch","2016-12-13 09:05:02","closed","1","Tarrasch","2016-12-14 02:09:26"
"1959","Tarrasch","2016-12-09 02:24:41","closed","1","Tarrasch","2016-12-12 02:05:01"
"1955","kreczko","2016-12-06 15:13:08","open","5","",""
"1954","bgrommes","2016-12-06 00:21:03","open","1","",""
"1953","riga","2016-12-05 14:48:51","closed","5","Tarrasch","2016-12-07 10:39:22"
"1952","Tarrasch","2016-12-05 04:52:08","closed","4","Tarrasch","2016-12-08 03:04:27"
"1951","bwtakacy","2016-12-04 12:09:42","closed","7","Tarrasch","2017-01-05 03:03:48"
"1949","jkeung","2016-12-02 21:56:11","open","1","",""
"1946","fabriziodemaria","2016-12-02 17:15:50","closed","2","bergman","2016-12-07 12:30:34"
"1944","Marigold","2016-12-02 15:37:10","closed","1","Tarrasch","2016-12-07 03:26:19"
"1931","Tarrasch","2016-11-24 09:53:17","closed","1","Tarrasch","2016-11-29 04:12:30"
"1930","mfcabrera","2016-11-22 22:49:27","closed","1","Tarrasch","2016-11-23 02:38:18"
"1929","mfcabrera","2016-11-22 22:37:19","closed","3","Tarrasch","2017-02-12 04:53:29"
"1928","Tarrasch","2016-11-22 08:07:40","closed","1","Tarrasch","2016-11-22 09:25:48"
"1927","daveFNbuck","2016-11-21 21:05:52","closed","1","Tarrasch","2016-11-22 02:07:40"
"1926","daveFNbuck","2016-11-21 20:27:35","closed","3","Tarrasch","2016-12-01 02:10:29"
"1925","shaynewang","2016-11-18 03:41:50","open","1","",""
"1923","sklarsa","2016-11-17 19:51:07","closed","8","Tarrasch","2016-11-23 02:22:19"
"1922","Tarrasch","2016-11-17 08:39:14","closed","1","Tarrasch","2016-11-22 08:20:21"
"1919","Tarrasch","2016-11-16 07:10:27","closed","1","Tarrasch","2016-11-22 08:18:45"
"1918","TKNGUE","2016-11-13 07:15:28","closed","1","",""
"1917","fabriziodemaria","2016-11-09 11:05:16","closed","7","ulzha","2016-11-15 08:30:54"
"1916","daveFNbuck","2016-11-07 20:57:46","closed","8","Tarrasch","2016-11-30 03:45:32"
"1915","Tarrasch","2016-11-07 09:28:20","closed","1","Tarrasch","2016-11-09 02:07:36"
"1913","Tarrasch","2016-11-07 08:20:13","closed","1","",""
"1912","dlstadther","2016-11-06 13:30:52","closed","1","dlstadther","2016-12-19 15:15:31"
"1910","Lucas-C","2016-11-04 11:25:07","closed","1","",""
"1909","Tarrasch","2016-11-03 08:15:56","closed","1","Tarrasch","2016-11-09 02:42:26"
"1908","Tarrasch","2016-11-02 09:23:42","closed","2","Tarrasch","2016-11-04 02:13:40"
"1907","rizzatti","2016-11-02 07:41:59","closed","2","Tarrasch","2016-11-07 02:25:48"
"1906","mcapuccini","2016-11-01 17:04:56","open","26","",""
"1902","miku","2016-10-28 10:45:07","closed","1","Tarrasch","2016-10-31 02:38:35"
"1901","johmathe","2016-10-27 21:09:41","open","1","",""
"1900","joseEnrique","2016-10-27 14:03:15","open","1","",""
"1896","ukarlsson","2016-10-24 15:00:59","closed","1","Tarrasch","2016-12-16 02:12:21"
"1895","heuvel","2016-10-24 12:50:04","closed","4","",""
"1893","kayibal","2016-10-22 16:57:14","closed","10","",""
"1892","Tarrasch","2016-10-21 03:53:32","closed","1","",""
"1891","ibbycurb","2016-10-20 20:26:45","closed","1","",""
"1890","jonathanng","2016-10-19 23:40:24","closed","0","Tarrasch","2016-10-20 02:01:54"
"1888","ulzha","2016-10-19 07:59:34","closed","8","ulzha","2016-11-18 08:21:04"
"1887","dewet22","2016-10-18 15:07:38","open","1","",""
"1886","nmandery","2016-10-15 08:01:47","closed","2","Tarrasch","2016-10-20 06:41:53"
"1885","oivoodoo","2016-10-14 17:37:11","open","1","",""
"1883","ulzha","2016-10-14 07:44:44","closed","1","",""
"1882","ulzha","2016-10-14 07:31:19","closed","1","ulzha","2016-10-14 10:29:39"
"1881","ukarlsson","2016-10-13 13:50:27","closed","2","Tarrasch","2016-10-19 10:16:15"
"1880","Tarrasch","2016-10-13 03:03:19","closed","1","Tarrasch","2016-10-21 03:59:37"
"1878","matt-miller","2016-10-11 18:11:45","closed","1","Tarrasch","2016-10-13 02:56:34"
"1877","miku","2016-10-08 11:17:28","closed","1","Tarrasch","2016-10-25 02:28:27"
"1876","nmandery","2016-10-08 06:38:45","closed","1","",""
"1871","daveFNbuck","2016-10-01 01:44:21","closed","4","Tarrasch","2016-10-05 04:59:37"
"1870","jessicaaustin","2016-09-30 23:15:12","closed","2","Tarrasch","2016-10-04 02:39:52"
"1868","daveFNbuck","2016-09-26 20:54:28","closed","1","Tarrasch","2016-09-27 02:31:44"
"1867","daveFNbuck","2016-09-26 17:51:26","closed","1","Tarrasch","2016-09-28 07:56:23"
"1866","oivoodoo","2016-09-26 09:09:26","open","6","",""
"1864","yonromai","2016-09-23 20:20:34","open","1","",""
"1863","j-santander","2016-09-23 16:26:09","closed","6","Tarrasch","2016-09-26 12:38:56"
"1862","rossilxx","2016-09-21 08:54:15","open","1","",""
"1861","daveFNbuck","2016-09-20 21:40:39","closed","7","Tarrasch","2016-09-26 02:26:05"
"1860","daveFNbuck","2016-09-20 20:22:01","closed","3","Tarrasch","2016-09-22 02:25:36"
"1859","daveFNbuck","2016-09-20 20:09:12","closed","1","",""
"1858","daveFNbuck","2016-09-20 19:46:42","closed","5","Tarrasch","2016-09-22 02:23:29"
"1857","rossilxx","2016-09-20 12:32:19","closed","1","",""
"1856","rolfschr","2016-09-16 11:22:13","closed","1","Tarrasch","2016-09-19 01:47:28"
"1855","Tarrasch","2016-09-16 03:11:07","closed","3","Tarrasch","2016-09-19 01:46:41"
"1854","Tarrasch","2016-09-15 08:27:28","closed","1","Tarrasch","2016-09-16 03:03:52"
"1853","Tarrasch","2016-09-13 03:10:34","closed","1","Tarrasch","2016-09-15 08:24:56"
"1851","daveFNbuck","2016-09-08 23:48:05","closed","1","Tarrasch","2016-09-13 02:19:07"
"1850","daveFNbuck","2016-09-08 23:46:56","closed","1","Tarrasch","2016-09-12 03:00:35"
"1849","daveFNbuck","2016-09-08 23:00:02","closed","1","Tarrasch","2016-09-12 02:51:39"
"1848","daveFNbuck","2016-09-08 21:50:24","closed","1","Tarrasch","2016-09-12 02:36:41"
"1847","daveFNbuck","2016-09-08 21:38:04","closed","1","Tarrasch","2016-09-12 02:35:50"
"1846","daveFNbuck","2016-09-08 20:42:58","closed","1","Tarrasch","2016-09-12 02:34:19"
"1845","ifiddes","2016-09-08 19:45:04","open","1","",""
"1844","daveFNbuck","2016-09-08 19:36:52","closed","1","Tarrasch","2016-09-12 04:46:41"
"1843","Tarrasch","2016-09-07 02:30:40","closed","1","Tarrasch","2016-09-07 04:50:17"
"1842","Tarrasch","2016-09-06 09:41:27","closed","2","Tarrasch","2016-09-12 03:06:14"
"1841","Tarrasch","2016-09-06 08:07:05","closed","1","Tarrasch","2016-09-06 09:35:55"
"1840","Tarrasch","2016-09-01 09:17:45","closed","1","Tarrasch","2016-09-05 09:56:16"
"1839","Tarrasch","2016-09-01 07:30:34","closed","7","Tarrasch","2016-09-20 09:27:09"
"1838","Tarrasch","2016-09-01 03:57:49","closed","1","Tarrasch","2016-09-01 04:41:39"
"1837","anneschuth","2016-08-31 11:50:26","closed","1","erikbern","2016-08-31 15:00:27"
"1836","sceeter89","2016-08-31 09:09:58","closed","4","Tarrasch","2016-09-05 02:19:48"
"1835","miseyu","2016-08-30 13:32:57","open","1","",""
"1833","piotrpolatowski","2016-08-29 14:57:03","closed","8","Tarrasch","2016-09-05 02:17:30"
"1832","piotrpolatowski","2016-08-29 14:36:09","closed","1","",""
"1830","peterg-eb","2016-08-26 22:42:12","open","15","",""
"1829","daveFNbuck","2016-08-26 22:32:46","closed","1","",""
"1828","daveFNbuck","2016-08-25 17:45:00","closed","1","Tarrasch","2016-08-26 02:17:54"
"1827","daveFNbuck","2016-08-25 17:43:11","closed","1","Tarrasch","2016-08-26 02:19:17"
"1826","darabos","2016-08-24 14:39:06","open","1","",""
"1825","daveFNbuck","2016-08-23 21:58:11","closed","1","Tarrasch","2016-08-24 07:05:19"
"1824","daveFNbuck","2016-08-23 05:59:04","closed","1","Tarrasch","2016-09-19 02:01:25"
"1821","interskh","2016-08-20 08:17:39","closed","2","Tarrasch","2016-08-23 02:21:06"
"1820","peterg-eb","2016-08-18 18:05:00","open","13","",""
"1819","ivannotes","2016-08-17 07:23:57","closed","7","Tarrasch","2016-08-25 02:14:45"
"1818","daveFNbuck","2016-08-16 14:28:45","closed","1","Tarrasch","2016-08-17 02:08:51"
"1817","daveFNbuck","2016-08-16 14:22:50","closed","1","Tarrasch","2016-08-22 02:31:39"
"1816","impguard","2016-08-12 20:17:17","open","1","",""
"1815","petergaultney","2016-08-11 18:16:52","closed","2","erikbern","2016-08-11 19:47:31"
"1814","Tarrasch","2016-08-11 03:01:58","closed","1","Tarrasch","2016-08-22 02:50:37"
"1813","jeffcjohnson","2016-08-10 18:56:41","closed","1","erikbern","2016-08-10 19:52:34"
"1809","nugend","2016-08-08 22:42:19","closed","1","Tarrasch","2016-08-10 02:35:24"
