"number","created_by","created_at","state","commits","merged_by","merged_at"
"3780","marwahaha","2017-02-21 07:34:24","open","1","",""
"3779","johnnyworker1012","2017-02-21 05:48:00","closed","1","",""
"3778","WikiDiscoverer","2017-02-20 18:50:37","open","18","",""
"3777","WikiDiscoverer","2017-02-20 13:43:31","closed","2","",""
"3776","fbonzon","2017-02-20 01:22:08","open","1","",""
"3773","keheliya","2017-02-18 16:55:37","open","1","",""
"3772","JoshuaKGoldberg","2017-02-18 07:47:44","closed","1","",""
"3770","lokson","2017-02-17 22:27:22","closed","1","",""
"3766","EzequielB","2017-02-16 01:05:26","open","1","",""
"3761","GaleOnGitHub","2017-02-14 08:11:26","open","4","",""
"3758","alexmironof","2017-02-13 16:54:33","closed","0","",""
"3753","Rasulbeeek","2017-02-07 14:22:48","open","1","",""
"3752","Rasulbeeek","2017-02-07 12:50:51","closed","2","",""
"3750","rajeevnaikte","2017-02-05 07:45:33","open","1","",""
"3747","mperrando","2017-02-03 10:23:14","open","1","",""
"3738","pndewit","2017-01-31 11:16:51","open","1","",""
"3737","hupfis","2017-01-30 12:39:54","open","1","",""
"3735","whi-ski","2017-01-29 09:02:14","open","9","",""
"3727","Zorgatone","2017-01-23 08:47:39","open","1","",""
"3726","nasserghiasi","2017-01-22 09:57:16","open","1","",""
"3724","zhkuskov","2017-01-19 18:39:47","open","1","",""
"3716","keithwillcode","2017-01-13 21:35:07","open","1","",""
"3714","sidgoyal","2017-01-12 21:49:50","open","1","",""
"3712","marwahaha","2017-01-10 15:50:28","open","1","",""
"3710","maggiepint","2017-01-09 04:52:30","open","1","",""
"3708","TracyGJG","2017-01-08 08:19:08","open","19","",""
"3707","miestasmia","2017-01-07 14:25:52","open","2","",""
"3704","whi-ski","2017-01-06 05:17:00","closed","8","",""
"3701","gregpabian","2017-01-05 15:53:20","open","1","",""
"3700","gabchang","2017-01-05 11:30:49","closed","1","",""
"3697","ar2rsawseen","2017-01-03 14:07:46","closed","0","",""
"3695","nwhittaker","2016-12-31 19:42:33","open","1","",""
"3688","DanielRosenwasser","2016-12-28 07:41:50","open","1","",""
"3686","SeanSanker","2016-12-27 16:09:04","closed","1","",""
"3677","Quent-in","2016-12-23 19:15:20","open","2","",""
"3676","Dok11","2016-12-23 15:47:47","open","2","",""
"3671","marcoil","2016-12-21 14:00:13","open","1","",""
"3668","mairanteodoro","2016-12-19 17:12:34","closed","0","",""
"3666","josephjaniga","2016-12-17 00:48:41","open","3","",""
"3664","prodis","2016-12-15 15:31:38","open","1","",""
"3659","narainsagar","2016-12-13 23:25:29","open","1","",""
"3657","patrickhousley","2016-12-13 03:02:24","closed","0","",""
"3655","connection-reset","2016-12-09 16:18:46","open","1","",""
"3654","codenhagen","2016-12-09 14:43:34","open","1","",""
"3644","flakolefluk","2016-12-05 15:09:42","closed","1","",""
"3643","maggiepint","2016-12-05 05:18:57","open","1","",""
"3641","ibnesayeed","2016-12-04 17:53:55","open","5","",""
"3640","ichernev","2016-12-04 05:22:34","closed","2","ichernev","2016-12-04 05:32:42"
"3638","ichernev","2016-12-04 02:18:48","closed","3","",""
"3628","skfd","2016-11-29 12:45:00","closed","1","mj1856","2016-11-30 03:29:50"
"3620","aymericbouzy","2016-11-23 14:33:44","open","1","",""
"3615","marwahaha","2016-11-19 20:17:59","open","8","",""
"3614","webbiesdk","2016-11-19 16:34:57","closed","1","",""
"3612","zenozeng","2016-11-19 13:44:22","closed","1","",""
"3611","marwahaha","2016-11-19 07:32:34","open","11","",""
"3608","jasonkb","2016-11-16 06:42:07","open","3","",""
"3605","michaelkaaring","2016-11-15 10:12:21","closed","1","",""
"3603","torryt","2016-11-14 08:44:49","closed","1","",""
"3602","randombk","2016-11-14 06:57:52","closed","1","",""
"3597","vanillajonathan","2016-11-11 13:04:36","closed","0","",""
"3595","davidxmoody","2016-11-11 10:54:19","closed","1","ichernev","2016-11-12 06:08:08"
"3592","mxl","2016-11-10 15:51:56","closed","1","",""
