"number","issue","created_by","created_at"
"281286154","2887","dmzkrsk","2017-02-21 09:12:53"
"281287474","2887","ilevkivskyi","2017-02-21 09:18:33"
"281195147","2886","ilevkivskyi","2017-02-20 22:19:03"
"281188298","2885","ilevkivskyi","2017-02-20 21:42:47"
"281190580","2885","miedzinski","2017-02-20 21:52:47"
"281192514","2885","ilevkivskyi","2017-02-20 22:02:52"
"281195374","2885","miedzinski","2017-02-20 22:20:29"
"281190150","2884","ilevkivskyi","2017-02-20 21:51:03"
"280983682","2881","ddfisher","2017-02-20 04:08:49"
"280801527","2880","sixolet","2017-02-18 00:14:06"
"280802360","2880","sixolet","2017-02-18 00:20:29"
"280637190","2877","ilevkivskyi","2017-02-17 12:31:14"
"280607583","2874","ilevkivskyi","2017-02-17 09:59:22"
"280626706","2874","akdor1154","2017-02-17 11:32:07"
"280638343","2874","ilevkivskyi","2017-02-17 12:37:34"
"280180480","2873","ilevkivskyi","2017-02-15 23:49:32"
"280182127","2873","miedzinski","2017-02-15 23:57:13"
"280185522","2873","ilevkivskyi","2017-02-16 00:12:02"
"280186890","2873","miedzinski","2017-02-16 00:19:04"
"280273397","2873","elazarg","2017-02-16 09:03:51"
"280453429","2873","miedzinski","2017-02-16 20:41:14"
"280479147","2873","miedzinski","2017-02-16 22:13:28"
"280676499","2873","miedzinski","2017-02-17 15:14:57"
"280705468","2873","ilevkivskyi","2017-02-17 16:57:23"
"280715666","2873","ilevkivskyi","2017-02-17 17:35:47"
"280753793","2873","miedzinski","2017-02-17 20:10:01"
"280775051","2873","miedzinski","2017-02-17 21:45:10"
"280848278","2873","miedzinski","2017-02-18 14:16:54"
"280928405","2873","ilevkivskyi","2017-02-19 16:03:07"
"280937912","2873","miedzinski","2017-02-19 18:28:48"
"280938475","2873","ilevkivskyi","2017-02-19 18:36:41"
"280097435","2872","gvanrossum","2017-02-15 18:33:42"
"280170078","2871","gvanrossum","2017-02-15 23:04:41"
"280320969","2871","JukkaL","2017-02-16 12:44:56"
"280350669","2871","alexpirine","2017-02-16 14:50:03"
"280384448","2871","gvanrossum","2017-02-16 16:38:36"
"280040439","2869","JelleZijlstra","2017-02-15 15:24:00"
"280054759","2869","gvanrossum","2017-02-15 16:10:44"
"280055610","2869","JelleZijlstra","2017-02-15 16:13:41"
"280085541","2869","gvanrossum","2017-02-15 17:51:53"
"280171235","2869","ilevkivskyi","2017-02-15 23:09:38"
"280322905","2865","elazarg","2017-02-16 12:54:57"
"279822478","2864","gvanrossum","2017-02-14 20:14:56"
"279803732","2863","gvanrossum","2017-02-14 19:08:25"
"279809026","2863","gvanrossum","2017-02-14 19:26:49"
"279809640","2863","ilevkivskyi","2017-02-14 19:28:49"
"279812733","2863","ilevkivskyi","2017-02-14 19:39:13"
"279815182","2863","gvanrossum","2017-02-14 19:47:44"
"279816792","2863","ilevkivskyi","2017-02-14 19:53:32"
"279588365","2862","gvanrossum","2017-02-14 02:22:41"
"279588484","2862","gvanrossum","2017-02-14 02:23:22"
"279630775","2862","ilevkivskyi","2017-02-14 07:42:55"
"279787348","2862","brettcannon","2017-02-14 18:08:56"
"280749740","2862","samuelcolvin","2017-02-17 19:52:37"
"280756356","2862","gvanrossum","2017-02-17 20:21:32"
"280759753","2862","samuelcolvin","2017-02-17 20:36:57"
"280760512","2862","gvanrossum","2017-02-17 20:40:26"
"279504449","2861","gappleto97","2017-02-13 19:57:49"
"279559912","2861","ilevkivskyi","2017-02-13 23:40:00"
"279560872","2861","ilevkivskyi","2017-02-13 23:44:54"
"279563632","2861","gvanrossum","2017-02-13 23:59:58"
"279565337","2861","ilevkivskyi","2017-02-14 00:09:24"
"279567446","2861","ilevkivskyi","2017-02-14 00:21:40"
"279568449","2861","gvanrossum","2017-02-14 00:27:31"
"279574795","2861","gappleto97","2017-02-14 01:04:07"
"279581379","2861","gvanrossum","2017-02-14 01:41:26"
"279586559","2861","gappleto97","2017-02-14 02:11:09"
"279590185","2861","gvanrossum","2017-02-14 02:34:32"
"279592138","2861","gappleto97","2017-02-14 02:48:15"
"279602468","2861","gvanrossum","2017-02-14 04:06:01"
"279465963","2860","mr-c","2017-02-13 17:44:13"
"279468100","2860","gvanrossum","2017-02-13 17:51:40"
"279469562","2860","mr-c","2017-02-13 17:56:26"
"279474961","2860","mr-c","2017-02-13 18:15:28"
"279476837","2860","gvanrossum","2017-02-13 18:22:06"
"279477919","2860","mr-c","2017-02-13 18:26:08"
"279478139","2860","gvanrossum","2017-02-13 18:26:53"
"279478487","2860","mr-c","2017-02-13 18:28:11"
"279420503","2859","gvanrossum","2017-02-13 15:16:15"
"279498357","2858","ddfisher","2017-02-13 19:36:50"
"279499068","2858","afrieder","2017-02-13 19:39:28"
"279502987","2858","ddfisher","2017-02-13 19:52:49"
"279279863","2857","ddfisher","2017-02-13 02:26:47"
"279424805","2857","gvanrossum","2017-02-13 15:30:35"
"279251063","2856","gvanrossum","2017-02-12 21:35:18"
"279979811","2856","elazarg","2017-02-15 10:54:37"
"279981075","2856","elazarg","2017-02-15 11:00:25"
"279985627","2856","elazarg","2017-02-15 11:23:01"
"279247052","2855","ilevkivskyi","2017-02-12 20:41:29"
"279612054","2854","lincolnq","2017-02-14 05:28:44"
"279612752","2854","lincolnq","2017-02-14 05:34:06"
"279860932","2854","ddfisher","2017-02-14 22:45:59"
"280323357","2853","elazarg","2017-02-16 12:57:16"
"279278811","2852","JelleZijlstra","2017-02-13 02:17:30"
"280348808","2850","JukkaL","2017-02-16 14:43:44"
"280183715","2849","ilevkivskyi","2017-02-16 00:04:01"
"279135217","2845","ilevkivskyi","2017-02-11 10:27:20"
"279187825","2845","gvanrossum","2017-02-12 00:55:10"
"279188447","2845","gvanrossum","2017-02-12 01:08:36"
"279188988","2845","JelleZijlstra","2017-02-12 01:22:50"
"280008914","2845","ilevkivskyi","2017-02-15 13:21:32"
"279070636","2843","gvanrossum","2017-02-10 21:28:22"
"279053641","2842","ilevkivskyi","2017-02-10 20:11:28"
"279055332","2842","gvanrossum","2017-02-10 20:19:10"
"278797670","2840","kirbyfan64","2017-02-09 22:37:53"
"278799891","2840","ddfisher","2017-02-09 22:47:02"
"278709568","2838","JukkaL","2017-02-09 17:18:43"
"279091967","2837","gvanrossum","2017-02-10 23:12:06"
"279095224","2837","gvanrossum","2017-02-10 23:33:09"
"278543579","2836","gvanrossum","2017-02-09 04:23:12"
"278545127","2836","5j9","2017-02-09 04:36:44"
"278601032","2836","JukkaL","2017-02-09 10:17:12"
"278977585","2836","gvanrossum","2017-02-10 15:39:39"
"279602590","2836","Dedoig","2017-02-14 04:06:55"
"279602865","2836","gvanrossum","2017-02-14 04:09:23"
"279603744","2836","Dedoig","2017-02-14 04:17:14"
"279604134","2836","gvanrossum","2017-02-14 04:20:39"
"279607069","2836","Dedoig","2017-02-14 04:45:30"
"279614700","2836","gvanrossum","2017-02-14 05:50:28"
"278516547","2835","gvanrossum","2017-02-09 01:16:05"
"278525345","2835","joell","2017-02-09 02:07:47"
"278537161","2835","gvanrossum","2017-02-09 03:29:08"
"278702091","2835","joell","2017-02-09 16:53:54"
"278739147","2835","gvanrossum","2017-02-09 19:01:54"
"278757507","2835","joell","2017-02-09 20:07:57"
"278499015","2834","gvanrossum","2017-02-08 23:38:17"
"278883484","2834","ilevkivskyi","2017-02-10 08:14:49"
"278885374","2834","ilevkivskyi","2017-02-10 08:26:28"
"278900242","2834","ilevkivskyi","2017-02-10 09:43:29"
"278498110","2832","gvanrossum","2017-02-08 23:33:43"
"278398347","2831","gvanrossum","2017-02-08 17:25:06"
"278348924","2830","elazarg","2017-02-08 14:50:00"
