"number","created_by","created_at","state","commits","merged_by","merged_at"
"2883","miedzinski","2017-02-20 16:37:49","open","1","",""
"2880","sixolet","2017-02-18 00:12:11","open","1","",""
"2879","ilevkivskyi","2017-02-17 21:31:33","open","2","",""
"2873","miedzinski","2017-02-15 22:53:54","open","20","",""
"2870","ilevkivskyi","2017-02-15 13:31:09","closed","1","gvanrossum","2017-02-15 18:02:26"
"2869","ilevkivskyi","2017-02-15 13:16:03","open","6","",""
"2868","elazarg","2017-02-15 10:53:55","open","3","",""
"2866","gvanrossum","2017-02-15 04:36:41","open","1","",""
"2865","gvanrossum","2017-02-15 04:34:12","open","1","",""
"2864","gvanrossum","2017-02-14 20:01:46","closed","1","gvanrossum","2017-02-14 20:24:31"
"2863","ilevkivskyi","2017-02-14 19:03:02","closed","6","gvanrossum","2017-02-14 19:47:29"
"2858","afrieder","2017-02-13 01:01:36","closed","2","ddfisher","2017-02-13 19:52:45"
"2857","ddfisher","2017-02-13 00:29:07","closed","4","gvanrossum","2017-02-13 15:29:54"
"2855","ilevkivskyi","2017-02-12 20:23:14","open","2","",""
"2854","lincolnq","2017-02-12 13:36:58","closed","7","ddfisher","2017-02-14 22:45:51"
"2853","ilevkivskyi","2017-02-12 10:55:31","open","4","",""
"2851","gvanrossum","2017-02-12 00:57:02","closed","1","gvanrossum","2017-02-12 01:08:06"
"2849","ilevkivskyi","2017-02-11 22:39:30","open","2","",""
"2847","ilevkivskyi","2017-02-11 17:32:10","open","1","",""
"2846","JelleZijlstra","2017-02-11 17:05:23","open","3","",""
"2845","JelleZijlstra","2017-02-11 07:46:47","open","2","",""
"2844","ddfisher","2017-02-10 23:08:35","closed","1","gvanrossum","2017-02-11 00:17:45"
"2843","afrieder","2017-02-10 17:57:42","closed","2","gvanrossum","2017-02-10 21:28:15"
"2842","ilevkivskyi","2017-02-10 09:42:59","closed","6","gvanrossum","2017-02-10 20:27:51"
"2841","kirbyfan64","2017-02-09 23:05:58","open","2","",""
"2839","ilevkivskyi","2017-02-09 20:53:10","open","1","",""
"2838","JukkaL","2017-02-09 15:59:31","open","16","",""
"2837","elazarg","2017-02-09 08:22:08","closed","3","gvanrossum","2017-02-11 00:16:04"
"2833","ilevkivskyi","2017-02-08 23:13:51","open","7","",""
"2832","elazarg","2017-02-08 14:44:11","open","3","",""
"2830","TRManderson","2017-02-08 09:46:07","open","5","",""
"2829","TRManderson","2017-02-08 08:58:56","open","3","",""
"2827","elazarg","2017-02-08 07:52:14","closed","3","gvanrossum","2017-02-12 00:31:44"
"2825","ilevkivskyi","2017-02-07 23:20:21","open","7","",""
"2822","elazarg","2017-02-07 14:54:06","closed","3","JukkaL","2017-02-07 16:33:20"
"2821","ilevkivskyi","2017-02-07 14:22:54","open","1","",""
"2820","elazarg","2017-02-07 10:01:03","closed","3","JukkaL","2017-02-07 15:43:09"
"2819","elazarg","2017-02-07 08:50:40","closed","3","JukkaL","2017-02-07 13:55:20"
"2817","gvanrossum","2017-02-06 21:41:03","closed","1","gvanrossum","2017-02-06 22:10:16"
"2815","alexandrul","2017-02-06 20:48:40","closed","4","gvanrossum","2017-02-06 23:18:42"
"2814","alexandrul","2017-02-06 19:32:23","closed","1","gvanrossum","2017-02-06 19:48:22"
