"number","created_by","created_at","state","closed_by","closed_at"
"2105","honmaple","2017-02-19 07:20:49","closed","honmaple","2017-02-19 12:17:39"
"2104","ogenstad","2017-02-08 09:38:06","open","",""
"2103","crazy-canux","2017-02-08 06:53:39","open","",""
"2102","crazy-canux","2017-02-08 05:20:02","open","",""
"2101","crazy-canux","2017-02-06 09:33:10","closed","justinmayer","2017-02-06 17:24:40"
"2100","voidplayer","2017-02-03 12:46:27","open","",""
"2099","horazont","2017-02-02 20:15:46","open","",""
"2098","brownnrl","2017-01-27 03:56:33","open","",""
"2097","junjiecai","2017-01-24 15:41:15","open","",""
"2096","rackonnoiter","2017-01-24 07:19:30","open","",""
"2095","ingwinlu","2017-01-23 23:01:44","open","",""
"2094","ingwinlu","2017-01-23 23:00:01","open","",""
"2093","najeex","2017-01-23 11:51:00","open","",""
"2092","loggerhead","2017-01-22 08:59:56","closed","justinmayer","2017-01-23 16:24:00"
"2091","ZerataX","2017-01-21 16:05:35","closed","ZerataX","2017-01-22 19:38:30"
"2090","Kristinita","2017-01-18 15:24:50","closed","Kristinita","2017-01-26 06:23:35"
"2089","Kristinita","2017-01-18 11:57:04","open","",""
"2088","NoiSek","2017-01-17 04:55:53","open","",""
"2087","Bridouz","2017-01-14 15:14:22","open","",""
"2086","Sjord","2017-01-14 12:52:58","open","",""
"2085","Scheirle","2017-01-13 12:31:00","open","",""
"2084","cs01","2017-01-07 23:07:27","closed","cs01","2017-01-07 23:11:18"
"2083","jagmoreira","2017-01-04 20:26:14","open","",""
"2082","avaris","2017-01-03 19:14:29","closed","justinmayer","2017-01-03 19:25:37"
"2081","a3nm","2017-01-03 12:44:29","closed","a3nm","2017-01-09 21:11:22"
"2080","sanjayankur31","2017-01-03 02:00:13","open","",""
"2079","Rentier","2016-12-31 16:33:30","closed","justinmayer","2017-01-02 21:57:16"
"2078","SnorlaxYum","2016-12-30 06:30:33","closed","SnorlaxYum","2016-12-30 09:08:31"
"2077","Saigut","2016-12-29 15:58:25","open","",""
"2076","liltinkerer","2016-12-27 20:44:58","open","",""
"2075","liltinkerer","2016-12-26 19:40:45","open","liltinkerer",""
"2074","farseerfc","2016-12-26 13:04:49","closed","farseerfc","2017-01-24 09:21:33"
"2073","crazy-canux","2016-12-26 08:46:05","closed","justinmayer","2016-12-26 15:54:33"
"2072","digitalrounin","2016-12-25 11:11:04","open","",""
"2071","Anivarth","2016-12-23 17:31:40","open","",""
"2070","faraco","2016-12-23 12:09:11","closed","justinmayer","2016-12-23 15:23:44"
"2069","crazy-canux","2016-12-23 09:27:37","closed","justinmayer","2016-12-23 15:46:29"
"2068","lucasplus","2016-12-21 20:23:06","closed","justinmayer","2016-12-31 01:38:03"
"2067","farseerfc","2016-12-19 09:53:48","closed","justinmayer","2017-01-12 18:10:56"
"2066","richyvk","2016-12-17 04:15:45","open","",""
"2065","amyspark","2016-12-14 13:12:02","closed","justinmayer","2016-12-16 22:44:02"
"2064","jranke","2016-12-14 08:54:38","closed","justinmayer","2016-12-14 21:31:28"
"2063","Tmacshamgod","2016-12-13 19:37:48","closed","justinmayer","2017-01-03 18:26:35"
"2062","sincerefly","2016-12-12 02:17:02","closed","justinmayer","2016-12-12 02:39:05"
"2061","arjan-hada","2016-12-11 14:40:08","closed","justinmayer","2016-12-12 02:33:46"
"2060","avaris","2016-12-10 17:21:07","closed","justinmayer","2016-12-10 18:06:28"
"2059","ingwinlu","2016-12-10 08:08:35","closed","justinmayer","2016-12-10 18:06:33"
"2058","avaris","2016-12-10 07:00:37","closed","justinmayer","2016-12-10 18:56:36"
"2057","sdementen","2016-12-01 10:05:37","closed","justinmayer","2016-12-02 20:29:49"
"2056","docent-net","2016-11-30 13:36:34","open","",""
"2055","Inndy","2016-11-29 09:02:37","closed","Inndy","2016-11-30 05:55:54"
"2054","amyspark","2016-11-24 20:14:17","closed","amyspark","2016-12-14 13:05:49"
"2053","kevin-brotcke","2016-11-21 21:48:20","closed","justinmayer","2016-12-01 17:45:43"
"2052","Rogdham","2016-11-20 15:32:29","closed","justinmayer","2016-12-01 17:44:26"
"2051","Totktonada","2016-11-15 23:30:30","closed","justinmayer","2016-12-03 20:48:58"
"2050","Scheirle","2016-11-15 16:11:13","closed","justinmayer","2016-11-15 17:45:42"
"2049","jvoisin","2016-11-13 16:01:32","closed","justinmayer","2016-12-03 21:18:59"
"2048","gokul-uf","2016-11-09 00:04:55","closed","justinmayer","2016-12-03 21:16:27"
"2047","omiday","2016-11-05 20:25:17","open","",""
"2046","ejdzi","2016-11-04 11:50:26","closed","justinmayer","2016-12-03 20:57:54"
"2045","jvoisin","2016-11-03 13:11:29","open","",""
"2044","Totktonada","2016-11-03 11:30:34","closed","justinmayer","2016-11-15 17:45:42"
"2043","amyspark","2016-11-01 16:03:13","closed","justinmayer","2016-12-31 01:38:09"
"2042","jvoisin","2016-11-01 15:56:30","closed","jvoisin","2016-11-03 09:58:54"
"2041","srivignes","2016-11-01 07:30:32","closed","justinmayer","2016-11-02 21:13:00"
"2040","avaris","2016-10-29 18:13:42","closed","justinmayer","2016-10-29 18:57:46"
"2039","rubik","2016-10-28 14:21:09","closed","justinmayer","2016-10-28 20:17:51"
"2038","omiday","2016-10-24 00:28:23","closed","justinmayer","2016-11-18 16:30:15"
"2037","justinmayer","2016-10-22 22:49:18","closed","justinmayer","2016-11-18 16:30:19"
"2036","liltinkerer","2016-10-20 10:29:43","closed","liltinkerer","2016-12-26 19:39:14"
"2035","omiday","2016-10-19 19:37:48","closed","justinmayer","2016-11-14 18:33:07"
"2034","vforvalerio87","2016-10-19 16:09:11","open","",""
"2033","SnorlaxYum","2016-10-19 05:21:07","closed","justinmayer","2016-10-19 17:05:44"
"2032","omiday","2016-10-19 03:16:49","closed","justinmayer","2016-11-14 18:33:14"
"2031","vforvalerio87","2016-10-18 22:28:08","open","",""
"2030","j11e","2016-10-18 13:01:33","closed","j11e","2016-10-18 14:54:56"
"2029","omiday","2016-10-16 21:02:55","open","",""
"2028","alexwlchan","2016-10-16 11:51:39","closed","alexwlchan","2016-10-16 11:52:00"
"2027","alexwlchan","2016-10-16 11:31:14","open","",""
"2026","digitalrounin","2016-10-16 07:59:28","closed","digitalrounin","2016-12-25 09:08:23"
"2025","maherma-adg","2016-10-15 12:48:55","open","",""
"2024","saatomic","2016-10-13 10:57:18","closed","justinmayer","2016-10-16 20:20:08"
"2023","iKevinY","2016-10-13 06:35:43","closed","justinmayer","2016-10-29 18:54:18"
"2022","rjames86","2016-10-09 03:30:09","closed","justinmayer","2016-12-12 18:18:04"
"2021","digitalrounin","2016-10-08 11:29:06","open","",""
"2020","digitalrounin","2016-10-06 06:23:45","closed","digitalrounin","2016-10-08 11:32:50"
"2019","ishu3101","2016-10-04 22:13:54","closed","justinmayer","2016-10-04 22:56:24"
"2018","keisetsu","2016-10-03 18:00:27","closed","justinmayer","2016-10-16 20:22:14"
"2017","JulienPalard","2016-09-30 13:33:52","open","",""
"2016","jerryasher","2016-09-28 23:57:20","closed","justinmayer","2016-10-07 18:28:10"
"2015","jpli","2016-09-25 14:09:34","closed","justinmayer","2016-10-06 17:30:27"
"2014","azrdev","2016-09-24 17:14:39","closed","azrdev","2016-09-27 15:53:27"
"2013","marco-m","2016-09-19 09:06:46","closed","marco-m","2016-09-19 14:06:48"
"2012","jpli","2016-09-18 07:02:22","closed","jpli","2016-09-19 09:27:31"
"2011","jpli","2016-09-18 06:30:02","closed","jpli","2016-09-25 14:11:31"
"2010","gbraad","2016-09-18 05:13:47","closed","gbraad","2016-09-18 15:15:45"
"2009","iKevinY","2016-09-17 23:21:56","closed","justinmayer","2016-10-13 19:51:24"
"2008","ehashman","2016-09-17 14:50:57","open","",""
"2007","avaris","2016-09-16 19:49:48","closed","justinmayer","2016-09-17 02:25:47"
"2006","avaris","2016-09-16 15:00:54","closed","avaris","2016-09-16 19:06:01"
"2005","avaris","2016-09-16 14:58:57","closed","justinmayer","2016-09-17 15:25:07"
"2004","Scheirle","2016-09-16 07:51:22","closed","justinmayer","2016-09-27 15:40:36"
"2003","jerryasher","2016-09-14 06:45:28","closed","jerryasher","2016-09-20 08:23:36"
"2002","jerryasher","2016-09-14 06:37:42","closed","jerryasher","2016-09-14 06:40:07"
"2001","Totktonada","2016-08-30 23:39:19","closed","Totktonada","2016-09-12 00:25:28"
"2000","hmleal","2016-08-29 19:25:31","open","",""
"1999","rjames86","2016-08-29 18:51:19","closed","justinmayer","2016-12-03 20:41:50"
"1998","Cartroo","2016-08-25 07:56:35","closed","justinmayer","2016-08-25 15:21:18"
"1997","rossburton","2016-08-19 20:17:10","closed","justinmayer","2016-09-11 14:34:28"
"1996","bnice5000","2016-08-19 16:45:37","open","",""
"1995","Jibec","2016-08-17 05:58:14","closed","Jibec","2016-08-18 06:43:15"
"1994","Casyfill","2016-08-17 04:08:49","closed","justinmayer","2016-09-11 14:39:13"
