"number","created_by","created_at","state","commits","merged_by","merged_at"
"2103","crazy-canux","2017-02-08 06:53:39","open","2","",""
"2099","horazont","2017-02-02 20:15:46","open","2","",""
"2096","rackonnoiter","2017-01-24 07:19:30","open","1","",""
"2094","ingwinlu","2017-01-23 23:00:01","open","5","",""
"2086","Sjord","2017-01-14 12:52:58","open","1","",""
"2085","Scheirle","2017-01-13 12:31:00","open","1","",""
"2083","jagmoreira","2017-01-04 20:26:14","open","1","",""
"2082","avaris","2017-01-03 19:14:29","closed","1","justinmayer","2017-01-03 19:25:37"
"2075","liltinkerer","2016-12-26 19:40:45","open","1","",""
"2074","farseerfc","2016-12-26 13:04:49","closed","1","",""
"2072","digitalrounin","2016-12-25 11:11:04","open","1","",""
"2071","Anivarth","2016-12-23 17:31:40","open","1","",""
"2068","lucasplus","2016-12-21 20:23:06","closed","1","justinmayer","2016-12-31 01:38:03"
"2067","farseerfc","2016-12-19 09:53:48","closed","2","",""
"2065","amyspark","2016-12-14 13:12:02","closed","0","justinmayer","2016-12-16 22:44:02"
"2063","Tmacshamgod","2016-12-13 19:37:48","closed","1","",""
"2060","avaris","2016-12-10 17:21:07","closed","1","justinmayer","2016-12-10 18:06:28"
"2058","avaris","2016-12-10 07:00:37","closed","2","justinmayer","2016-12-10 18:56:36"
"2056","docent-net","2016-11-30 13:36:34","open","1","",""
"2054","amyspark","2016-11-24 20:14:17","closed","0","",""
"1904","abackstrom","2016-11-23 05:44:53","open","1","",""
"2053","kevin-brotcke","2016-11-21 21:48:20","closed","1","justinmayer","2016-12-01 17:45:43"
"2052","Rogdham","2016-11-20 15:32:29","closed","2","justinmayer","2016-12-01 17:44:26"
"2051","Totktonada","2016-11-15 23:30:30","closed","0","justinmayer","2016-12-03 20:48:58"
"2050","Scheirle","2016-11-15 16:11:13","closed","1","justinmayer","2016-11-15 17:45:42"
"2047","omiday","2016-11-05 20:25:17","open","2","",""
"2046","ejdzi","2016-11-04 11:50:26","closed","1","",""
"2045","jvoisin","2016-11-03 13:11:29","open","1","",""
"2040","avaris","2016-10-29 18:13:42","closed","1","justinmayer","2016-10-29 18:57:46"
