"number","created_by","created_at","state","commits","merged_by","merged_at"
"3877","sigmavirus24","2017-02-16 13:16:38","closed","2","sigmavirus24","2017-02-16 13:37:18"
"3876","mislavcimpersak","2017-02-16 09:10:13","closed","1","Lukasa","2017-02-16 09:30:12"
"3874","nateprewitt","2017-02-14 16:27:56","open","1","",""
"3873","nateprewitt","2017-02-14 14:54:52","closed","1","sigmavirus24","2017-02-14 15:43:19"
"3871","jvanasco","2017-02-13 18:46:05","open","2","",""
"3869","nateprewitt","2017-02-12 06:39:29","closed","1","Lukasa","2017-02-12 07:33:14"
"3868","vmalloc","2017-02-11 20:12:31","closed","1","Lukasa","2017-02-12 09:58:09"
"3866","jvanasco","2017-02-10 20:20:19","closed","2","",""
"3865","JohnVillalovos","2017-02-10 17:49:26","closed","1","kennethreitz","2017-02-10 21:50:11"
"3864","kennethreitz","2017-02-10 17:23:04","open","105","",""
"3862","mattkohl","2017-02-10 10:56:00","closed","6","Lukasa","2017-02-10 12:19:01"
"3857","Lukasa","2017-02-08 11:55:27","closed","1","sigmavirus24","2017-02-08 12:05:51"
"3853","StyXman","2017-02-06 16:31:22","closed","3","Lukasa","2017-02-07 16:04:25"
"3851","nateprewitt","2017-02-03 17:14:31","closed","1","Lukasa","2017-02-03 17:21:14"
"3846","jvanasco","2017-02-02 01:52:21","closed","1","kennethreitz","2017-02-10 21:46:14"
"3841","TetraEtc","2017-01-31 03:04:22","closed","1","Lukasa","2017-01-31 08:54:28"
"3836","nateprewitt","2017-01-27 20:45:28","closed","1","Lukasa","2017-01-27 20:55:07"
"3835","mmedal","2017-01-26 21:10:55","closed","1","Lukasa","2017-01-29 08:15:36"
"3832","nateprewitt","2017-01-25 15:32:06","closed","1","Lukasa","2017-01-25 15:40:30"
"3830","nateprewitt","2017-01-24 23:13:07","closed","2","kennethreitz","2017-01-25 01:58:00"
"3828","sigmavirus24","2017-01-24 12:56:38","closed","1","Lukasa","2017-01-24 13:13:52"
"3827","sigmavirus24","2017-01-24 12:34:11","closed","5","Lukasa","2017-01-24 12:52:23"
"3823","Lukasa","2017-01-18 12:23:34","closed","1","Lukasa","2017-01-18 12:41:05"
"3819","llazzaro","2017-01-14 04:13:04","closed","1","",""
"3817","dsully","2017-01-13 20:51:40","closed","2","",""
"3814","Kentzo","2017-01-13 06:29:28","closed","1","",""
"3812","inglesp","2017-01-12 17:00:51","closed","1","Lukasa","2017-01-12 17:12:54"
"3809","JungWinter","2017-01-11 09:41:59","closed","1","Lukasa","2017-01-11 09:49:59"
"3804","ncoghlan","2017-01-10 05:17:34","closed","2","Lukasa","2017-01-10 08:31:59"
"3802","Atterratio","2017-01-09 03:45:58","closed","0","",""
"3801","andriisoldatenko","2017-01-08 22:41:06","closed","1","kennethreitz","2017-01-09 04:13:04"
"3796","nateprewitt","2017-01-05 05:45:45","closed","1","kennethreitz","2017-01-05 06:17:23"
"3795","AdamWill","2016-12-30 17:41:19","closed","1","Lukasa","2016-12-30 18:15:00"
"3791","evgen231","2016-12-29 03:24:28","closed","0","Lukasa","2016-12-29 09:41:24"
"3789","moin18","2016-12-23 17:21:43","closed","1","Lukasa","2017-01-19 09:19:00"
"3787","moin18","2016-12-22 23:07:33","closed","1","",""
"3785","Adusei","2016-12-21 17:48:57","closed","1","Lukasa","2016-12-21 18:08:46"
"3783","moin18","2016-12-21 14:00:00","closed","3","",""
"3782","moin18","2016-12-21 12:51:52","closed","1","",""
"3781","mplonka","2016-12-21 06:10:53","closed","0","Lukasa","2016-12-21 15:59:35"
"3773","nateprewitt","2016-12-16 22:26:37","closed","1","Lukasa","2016-12-17 14:23:33"
"3771","kianxineki","2016-12-15 17:06:55","closed","1","",""
"3766","nateprewitt","2016-12-12 17:35:13","closed","1","Lukasa","2016-12-14 09:41:11"
"3765","noxxi","2016-12-11 19:59:01","closed","1","",""
"3764","ihiro100","2016-12-10 18:12:26","closed","90","",""
"3763","nateprewitt","2016-12-09 19:27:16","closed","1","",""
"3762","nateprewitt","2016-12-09 19:23:35","closed","1","sigmavirus24","2016-12-10 13:57:44"
"3761","nateprewitt","2016-12-09 15:06:13","closed","1","Lukasa","2016-12-09 15:29:17"
"3760","sigmavirus24","2016-12-09 14:41:16","closed","1","Lukasa","2016-12-09 14:48:42"
"3758","nateprewitt","2016-12-08 22:01:52","closed","1","Lukasa","2016-12-09 08:45:14"
"3757","nateprewitt","2016-12-08 18:23:36","closed","4","Lukasa","2016-12-12 15:54:17"
"3754","nateprewitt","2016-12-08 04:21:45","closed","3","Lukasa","2016-12-08 09:05:13"
"3745","alexwlchan","2016-12-02 19:31:54","closed","0","",""
"3738","Lukasa","2016-11-30 21:22:10","closed","2","Lukasa","2016-12-01 10:45:25"
