"number","created_by","created_at","state","closed_by","closed_at"
"53","pyup-bot","2017-01-14 10:12:38","closed","AlexandreDecan","2017-01-14 10:13:32"
"52","crdoconnor","2016-09-03 13:21:55","closed","AlexandreDecan","2016-09-06 08:50:51"
"51","AlexandreDecan","2016-08-05 11:32:21","open","",""
"50","AlexandreDecan","2016-08-05 11:28:16","closed","AlexandreDecan","2016-08-08 08:33:54"
"49","tommens","2016-06-06 13:31:55","closed","AlexandreDecan","2016-06-07 07:08:54"
"48","EdwardBetts","2016-04-16 12:35:44","closed","AlexandreDecan","2016-04-17 07:44:29"
"47","AlexandreDecan","2016-04-07 14:56:45","closed","AlexandreDecan","2016-04-14 08:16:45"
"46","AlexandreDecan","2016-04-06 07:39:52","closed","AlexandreDecan","2016-04-19 13:24:42"
"45","mgoeminne","2016-03-02 13:43:47","closed","AlexandreDecan","2016-03-03 09:40:50"
"44","mgoeminne","2016-02-28 16:51:13","closed","AlexandreDecan","2016-02-29 13:13:41"
"43","mgoeminne","2016-02-28 11:21:15","closed","AlexandreDecan","2016-02-28 12:15:41"
"42","mgoeminne","2016-02-28 09:06:15","closed","AlexandreDecan","2016-02-28 12:15:49"
"41","mgoeminne","2016-02-27 21:58:13","closed","AlexandreDecan","2016-02-28 08:53:53"
"40","AlexandreDecan","2016-02-25 08:10:05","closed","AlexandreDecan","2016-02-25 08:10:11"
"39","mgoeminne","2016-02-25 07:30:06","closed","AlexandreDecan","2016-02-25 07:32:15"
"38","AlexandreDecan","2016-02-10 17:20:50","closed","AlexandreDecan","2016-02-10 19:16:19"
"37","tommens","2016-02-08 15:40:10","closed","AlexandreDecan","2016-02-10 19:16:20"
"36","tommens","2016-02-03 09:13:36","closed","AlexandreDecan","2016-02-03 13:25:53"
"35","aliparsai","2016-01-27 14:23:44","closed","AlexandreDecan","2016-02-03 13:56:43"
"34","mgoeminne","2016-01-25 16:53:31","closed","AlexandreDecan","2016-01-28 13:58:17"
"33","mgoeminne","2016-01-25 15:27:29","closed","AlexandreDecan","2016-01-28 13:56:51"
"32","mgoeminne","2016-01-23 13:58:10","closed","AlexandreDecan","2016-01-23 13:59:10"
"31","aliparsai","2016-01-19 14:05:28","closed","AlexandreDecan","2016-01-19 15:41:02"
"30","aliparsai","2016-01-19 14:03:03","closed","AlexandreDecan","2016-01-19 15:02:25"
"29","mgoeminne","2016-01-19 13:45:27","closed","AlexandreDecan","2016-01-19 13:48:21"
"28","aliparsai","2016-01-19 12:14:29","closed","AlexandreDecan","2016-01-19 15:40:35"
"27","tommens","2016-01-18 20:31:33","closed","AlexandreDecan","2016-01-18 20:34:15"
"26","aliparsai","2016-01-18 16:30:10","closed","aliparsai","2016-01-19 11:52:00"
"25","AlexandreDecan","2016-01-18 13:40:51","closed","AlexandreDecan","2016-07-05 07:41:11"
"24","AlexandreDecan","2016-01-17 17:04:23","closed","AlexandreDecan","2016-01-18 13:58:46"
"23","AlexandreDecan","2016-01-16 14:13:43","closed","AlexandreDecan","2016-01-17 19:54:34"
"22","AlexandreDecan","2016-01-16 12:23:37","closed","AlexandreDecan","2016-01-17 19:23:50"
"21","tommens","2016-01-16 08:56:05","closed","AlexandreDecan","2016-02-10 08:34:15"
"20","AlexandreDecan","2016-01-13 11:35:16","closed","AlexandreDecan","2016-01-14 10:59:38"
"19","AlexandreDecan","2016-01-13 10:09:47","closed","AlexandreDecan","2016-01-14 10:59:38"
"18","tommens","2016-01-12 10:05:04","closed","AlexandreDecan","2016-01-12 12:16:55"
"17","tommens","2016-01-11 21:30:12","closed","AlexandreDecan","2016-02-03 13:57:32"
"16","tommens","2016-01-11 21:26:55","closed","AlexandreDecan","2016-01-12 07:41:38"
"15","evdokim","2016-01-11 20:48:55","closed","AlexandreDecan","2016-01-11 20:55:01"
"14","tommens","2016-01-10 15:58:54","closed","AlexandreDecan","2016-01-10 19:45:05"
"13","tommens","2016-01-10 11:56:45","closed","AlexandreDecan","2016-01-10 19:42:09"
"12","tommens","2016-01-09 14:59:17","open","",""
"11","tommens","2016-01-08 16:24:19","closed","AlexandreDecan","2016-01-10 08:49:49"
"10","AlexandreDecan","2016-01-07 16:55:55","closed","AlexandreDecan","2016-01-08 13:03:09"
"9","tommens","2016-01-06 18:00:03","closed","AlexandreDecan","2016-01-07 16:11:24"
"8","tommens","2016-01-06 17:49:48","closed","AlexandreDecan","2016-01-06 18:44:40"
"7","tommens","2015-12-29 22:54:51","closed","AlexandreDecan","2015-12-30 10:05:13"
"6","tommens","2015-12-29 22:26:25","closed","AlexandreDecan","2015-12-30 09:45:16"
"5","tommens","2015-12-29 22:21:50","closed","AlexandreDecan","2015-12-30 09:52:38"
"4","tommens","2015-12-29 22:20:51","closed","AlexandreDecan","2015-12-30 09:59:04"
"3","tommens","2015-12-29 22:20:16","closed","AlexandreDecan","2015-12-30 10:03:45"
"2","tommens","2015-12-29 22:19:43","closed","AlexandreDecan","2015-12-30 09:59:42"
"1","tommens","2015-12-12 16:49:02","closed","AlexandreDecan","2015-12-13 09:47:35"
