"number","created_by","created_at","state","commits","merged_by","merged_at"
"49","tommens","2016-06-06 13:31:55","closed","1","AlexandreDecan","2016-06-07 07:08:54"
"48","EdwardBetts","2016-04-16 12:35:44","closed","1","",""
"46","AlexandreDecan","2016-04-06 07:39:52","closed","26","",""
"45","mgoeminne","2016-03-02 13:43:47","closed","25","AlexandreDecan","2016-03-03 09:40:50"
"44","mgoeminne","2016-02-28 16:51:13","closed","4","",""
"43","mgoeminne","2016-02-28 11:21:15","closed","81","",""
"42","mgoeminne","2016-02-28 09:06:15","closed","150","",""
"41","mgoeminne","2016-02-27 21:58:13","closed","1","",""
"40","AlexandreDecan","2016-02-25 08:10:05","closed","2","AlexandreDecan","2016-02-25 08:10:11"
"39","mgoeminne","2016-02-25 07:30:06","closed","1","AlexandreDecan","2016-02-25 07:32:15"
"36","tommens","2016-02-03 09:13:36","closed","1","AlexandreDecan","2016-02-03 13:25:53"
"34","mgoeminne","2016-01-25 16:53:31","closed","6","",""
"32","mgoeminne","2016-01-23 13:58:10","closed","1","AlexandreDecan","2016-01-23 13:59:10"
"29","mgoeminne","2016-01-19 13:45:27","closed","1","AlexandreDecan","2016-01-19 13:48:21"
"28","aliparsai","2016-01-19 12:14:29","closed","8","",""
"27","tommens","2016-01-18 20:31:33","closed","1","AlexandreDecan","2016-01-18 20:34:15"
"26","aliparsai","2016-01-18 16:30:10","closed","30","",""
"20","AlexandreDecan","2016-01-13 11:35:16","closed","4","AlexandreDecan","2016-01-14 10:59:38"
"16","tommens","2016-01-11 21:26:55","closed","3","AlexandreDecan","2016-01-12 07:41:38"
"15","evdokim","2016-01-11 20:48:55","closed","1","AlexandreDecan","2016-01-11 20:55:01"
"13","tommens","2016-01-10 11:56:45","closed","4","AlexandreDecan","2016-01-10 19:42:09"
"11","tommens","2016-01-08 16:24:19","closed","6","AlexandreDecan","2016-01-10 08:49:49"
"8","tommens","2016-01-06 17:49:48","closed","1","AlexandreDecan","2016-01-06 18:44:40"
"7","tommens","2015-12-29 22:54:51","closed","1","AlexandreDecan","2015-12-30 10:05:13"
"6","tommens","2015-12-29 22:26:25","closed","1","AlexandreDecan","2015-12-30 09:45:16"
"5","tommens","2015-12-29 22:21:50","closed","1","AlexandreDecan","2015-12-30 09:52:38"
"4","tommens","2015-12-29 22:20:51","closed","1","AlexandreDecan","2015-12-30 09:59:04"
"3","tommens","2015-12-29 22:20:16","closed","1","AlexandreDecan","2015-12-30 10:03:45"
"2","tommens","2015-12-29 22:19:43","closed","1","AlexandreDecan","2015-12-30 09:59:42"
"1","tommens","2015-12-12 16:49:02","closed","1","AlexandreDecan","2015-12-13 09:47:35"
