"number","created_by","created_at","state","closed_by","closed_at"
"1959","judeaugustinej","2017-02-21 07:36:24","open","",""
"1958","andreasrosdal","2017-02-21 06:03:22","open","",""
"1957","bdarnell","2017-02-21 00:40:31","open","",""
"1956","bdarnell","2017-02-20 22:18:16","closed","bdarnell","2017-02-20 22:58:15"
"1955","dwt","2017-02-20 10:28:31","open","",""
"1954","dinever","2017-02-17 06:09:23","closed","ajdavis","2017-02-17 16:27:13"
"1953","argaen","2017-02-14 16:19:42","open","",""
"1952","Rastagong","2017-02-12 20:39:34","closed","bdarnell","2017-02-20 22:03:59"
"1951","JZQT","2017-02-12 12:43:07","open","",""
"1950","josephhackman","2017-02-11 06:54:28","closed","bdarnell","2017-02-20 21:55:47"
"1949","ajdavis","2017-02-09 01:23:51","closed","ajdavis","2017-02-09 03:59:15"
"1948","jeffhunter","2017-02-09 01:19:30","closed","bdarnell","2017-02-10 00:21:36"
"1947","congfairy","2017-02-09 01:14:39","closed","bdarnell","2017-02-10 00:16:29"
"1946","jeffhunter","2017-02-09 01:13:21","closed","bdarnell","2017-02-10 00:21:47"
"1945","brianmego","2017-02-08 21:33:29","closed","ajdavis","2017-02-08 23:59:06"
"1944","vladimircape","2017-02-08 12:42:32","closed","bdarnell","2017-02-10 00:19:07"
"1943","hareshowin","2017-02-08 03:22:31","closed","bdarnell","2017-02-10 00:12:44"
"1942","tab1293","2017-02-06 20:28:39","closed","bdarnell","2017-02-07 00:53:34"
"1941","avayayu","2017-02-06 06:33:48","closed","bdarnell","2017-02-20 19:42:31"
"1940","jxskiss","2017-02-04 07:02:58","closed","bdarnell","2017-02-06 04:05:46"
"1939","aagarwal-optumsoft","2017-02-03 08:53:07","closed","bdarnell","2017-02-06 04:08:07"
"1938","astawiarski","2017-02-01 14:24:58","open","",""
"1937","playablebox","2017-01-28 14:53:11","closed","playablebox","2017-01-28 19:55:09"
"1936","homm","2017-01-27 00:17:20","open","",""
"1935","mirceaulinic","2017-01-25 11:48:03","closed","bdarnell","2017-02-10 00:06:34"
"1934","BluscreamFanBoy","2017-01-25 10:48:27","closed","bdarnell","2017-02-05 23:03:42"
"1933","ajdavis","2017-01-24 13:56:29","closed","bdarnell","2017-02-05 23:02:19"
"1932","tao12345666333","2017-01-24 09:44:48","closed","ajdavis","2017-01-24 14:13:33"
"1931","mirceaulinic","2017-01-23 00:22:01","closed","bdarnell","2017-02-10 00:06:50"
"1930","avayayu","2017-01-21 18:14:16","closed","bdarnell","2017-02-06 03:49:57"
"1929","pitrou","2017-01-13 12:46:08","open","",""
"1928","mr-ping","2017-01-13 02:16:44","closed","mr-ping","2017-01-13 08:48:18"
"1927","minrk","2017-01-11 10:24:21","open","",""
"1926","andriisoldatenko","2017-01-08 21:28:22","closed","bdarnell","2017-02-20 22:58:23"
"1925","khajvahmac","2017-01-08 21:05:57","closed","khajvahmac","2017-01-09 05:35:55"
"1924","duboviy","2017-01-08 18:34:14","closed","bdarnell","2017-01-08 18:57:07"
"1923","leobocao","2017-01-04 18:55:34","closed","bdarnell","2017-02-05 23:02:19"
"1922","tonyshare","2017-01-03 15:13:11","closed","bdarnell","2017-01-08 17:23:59"
"1921","nickhell","2016-12-28 03:34:03","closed","ajdavis","2016-12-30 17:46:35"
"1920","truekonrads","2016-12-22 13:50:58","open","",""
"1919","GuoHongke","2016-12-21 07:45:27","closed","bdarnell","2016-12-21 11:30:06"
"1918","984958198","2016-12-21 03:16:19","closed","bdarnell","2016-12-21 03:22:39"
"1917","retinator","2016-12-20 20:12:14","open","",""
"1916","SuminAndrew","2016-12-17 17:06:30","closed","ajdavis","2016-12-20 14:25:08"
"1915","tzulberti-jampp","2016-12-15 16:41:40","closed","tzulberti-jampp","2016-12-15 16:43:32"
"1914","judeaugustinej","2016-12-14 09:56:06","closed","ajdavis","2016-12-14 14:37:47"
"1913","chrisamow","2016-12-13 04:08:45","closed","chrisamow","2016-12-13 04:16:16"
"1912","pitrou","2016-12-12 15:54:06","open","",""
"1911","medariox","2016-12-11 16:58:22","closed","bdarnell","2016-12-13 12:57:11"
"1910","ajdavis","2016-12-10 12:34:55","closed","bdarnell","2016-12-13 12:52:37"
"1909","ajdavis","2016-12-10 12:28:14","open","",""
"1908","takluyver","2016-12-07 10:15:02","closed","bdarnell","2016-12-13 12:47:40"
"1907","QingGo","2016-12-05 12:10:34","closed","bdarnell","2016-12-13 12:48:42"
"1906","ajdavis","2016-12-05 11:37:57","closed","bdarnell","2016-12-13 13:46:01"
"1905","MengPhantom","2016-12-03 04:03:08","closed","bdarnell","2017-01-08 18:36:13"
"1904","LiliumYang","2016-12-02 18:39:55","closed","bdarnell","2016-12-13 13:02:04"
"1903","gward","2016-12-01 23:04:49","closed","bdarnell","2016-12-02 03:59:01"
"1902","pitrou","2016-11-30 16:41:44","closed","bdarnell","2016-12-13 12:43:37"
"1901","pitrou","2016-11-30 14:29:51","closed","bdarnell","2016-12-13 12:43:49"
"1900","xenophonReal","2016-11-28 12:08:28","closed","xenophonReal","2016-11-28 12:42:41"
"1899","mr-ping","2016-11-24 06:40:49","closed","bdarnell","2017-01-08 18:54:17"
"1898","stiletto","2016-11-23 16:29:37","open","",""
"1897","opoplawski","2016-11-22 20:15:17","closed","bdarnell","2017-02-20 22:58:23"
"1896","philipskokoh","2016-11-21 03:44:53","closed","bdarnell","2016-11-22 09:02:42"
"1895","bdarnell","2016-11-20 12:14:11","open","",""
"1894","mehmetkose","2016-11-17 13:35:31","closed","ajdavis","2016-11-18 21:23:10"
"1893","pitrou","2016-11-16 11:02:07","closed","bdarnell","2016-11-20 12:13:25"
"1892","631068264","2016-11-16 10:39:26","closed","ajdavis","2016-11-16 18:22:20"
"1891","Mohanson","2016-11-16 08:18:07","closed","ajdavis","2016-11-16 18:29:58"
"1890","pitrou","2016-11-15 11:37:30","closed","bdarnell","2016-11-20 09:40:34"
"1889","pitrou","2016-11-15 09:42:08","closed","bdarnell","2016-11-20 13:51:19"
"1888","pitrou","2016-11-14 18:40:47","open","",""
"1887","pitrou","2016-11-14 09:14:36","closed","bdarnell","2016-11-20 09:41:35"
"1886","giampaolo","2016-11-13 00:34:53","open","",""
"1885","nagylzs","2016-11-12 11:57:43","closed","nagylzs","2016-11-21 06:43:43"
"1884","GeorgeXia1828","2016-11-11 03:31:58","closed","GeorgeXia1828","2016-11-11 03:51:57"
"1883","bucketzxm","2016-11-10 06:14:32","closed","bucketzxm","2016-11-11 01:51:33"
"1882","btdlin","2016-11-05 05:17:02","closed","ajdavis","2016-11-05 12:15:52"
"1881","ajdavis","2016-11-05 01:43:28","closed","bdarnell","2016-11-20 09:14:48"
"1880","pantuza","2016-11-04 20:42:39","open","",""
"1879","leafjungle","2016-11-04 02:36:56","closed","bdarnell","2016-11-04 03:43:59"
"1878","IchordeDionysos","2016-11-03 16:38:23","closed","bdarnell","2016-11-04 06:09:59"
"1877","IchordeDionysos","2016-11-03 16:33:54","closed","bdarnell","2016-11-04 06:11:03"
"1876","pitrou","2016-11-03 10:06:27","closed","bdarnell","2016-11-04 04:00:48"
"1875","pitrou","2016-11-02 17:28:20","closed","pitrou","2016-11-03 17:44:16"
"1874","pitrou","2016-11-02 17:14:23","closed","bdarnell","2016-11-04 04:00:48"
"1873","pitrou","2016-11-01 20:32:31","closed","bdarnell","2017-02-21 03:28:09"
"1872","ezdev128","2016-10-31 15:10:41","open","",""
"1871","Slater-Victoroff","2016-10-30 20:36:24","closed","ajdavis","2016-11-01 14:27:55"
"1870","leafjungle","2016-10-30 07:15:34","closed","bdarnell","2017-02-20 22:05:29"
"1869","bennettaur","2016-10-28 16:05:11","open","",""
"1868","shubham0704","2016-10-28 07:15:43","open","",""
"1867","ajdavis","2016-10-28 03:04:30","closed","ajdavis","2016-11-05 15:59:21"
"1866","zguangyu","2016-10-26 13:25:43","open","",""
"1865","dol-sen","2016-10-23 17:15:37","closed","bdarnell","2016-11-04 06:46:21"
"1864","leynos","2016-10-23 15:03:27","open","",""
"1863","M425","2016-10-22 08:44:48","open","",""
"1862","SuminAndrew","2016-10-20 11:34:39","closed","bdarnell","2016-11-04 04:03:34"
"1861","sljeff","2016-10-15 11:18:40","closed","ajdavis","2016-11-05 15:59:21"
"1860","rgbyrnes","2016-10-12 21:06:56","open","",""
"1859","mayflaver","2016-10-07 06:58:59","open","",""
"1858","Deus-Vult","2016-10-03 11:18:10","open","",""
"1857","SuminAndrew","2016-10-03 11:14:00","closed","bdarnell","2016-10-13 05:11:27"
"1856","digitaldavenyc","2016-10-03 05:49:36","open","",""
"1855","why2pac","2016-10-01 02:33:28","closed","bdarnell","2016-10-01 05:00:03"
"1854","why2pac","2016-10-01 02:28:31","closed","bdarnell","2016-10-01 04:59:05"
"1853","protheine","2016-09-30 20:58:51","closed","ajdavis","2016-09-30 22:53:10"
"1852","bdarnell","2016-09-30 16:06:32","closed","ajdavis","2016-09-30 22:38:48"
"1851","mywaiting","2016-09-29 17:03:26","closed","bdarnell","2016-10-01 04:38:28"
"1850","ghost","2016-09-29 08:06:05","closed","bdarnell","2016-10-08 14:12:35"
"1849","realcr","2016-09-28 16:34:05","open","",""
"1848","zhwei820","2016-09-27 09:43:30","closed","zhwei820","2016-09-27 16:25:48"
"1847","cachedout","2016-09-26 14:09:47","closed","cachedout","2016-09-26 15:18:10"
"1846","michaelimfeld","2016-09-26 12:19:31","closed","bdarnell","2016-10-01 08:05:57"
"1845","quxiaowei","2016-09-25 16:43:13","closed","quxiaowei","2016-09-26 00:49:55"
"1844","ajdavis","2016-09-23 14:02:13","closed","bdarnell","2016-10-13 04:58:55"
"1843","dvigneshwer","2016-09-23 12:08:32","closed","ajdavis","2016-09-23 20:04:43"
"1842","Lookyan","2016-09-23 09:08:08","open","",""
"1841","JuniorJPDJ","2016-09-23 00:27:25","closed","ajdavis","2016-09-23 20:03:23"
"1840","leynos","2016-09-22 14:58:58","open","",""
"1839","MkrV","2016-09-21 22:58:58","closed","ajdavis","2016-09-22 01:19:23"
"1838","ajdavis","2016-09-21 19:50:00","closed","bdarnell","2016-09-22 13:29:13"
"1837","eliric","2016-09-21 05:40:30","closed","ajdavis","2016-09-21 16:57:46"
"1836","afg984","2016-09-20 19:47:37","open","",""
"1835","jie","2016-09-20 01:52:20","closed","ajdavis","2016-09-20 02:48:39"
"1834","taehunahn","2016-09-19 16:03:38","closed","bdarnell","2016-09-21 03:06:29"
"1833","serhatbolsu","2016-09-18 10:11:18","closed","bdarnell","2016-10-13 04:58:54"
"1832","justdoit0823","2016-09-18 09:31:22","open","",""
"1831","23233","2016-09-14 06:42:48","closed","bdarnell","2016-09-14 06:45:48"
"1830","Wall-ee","2016-09-14 03:35:59","closed","ajdavis","2016-09-14 03:36:39"
"1829","floostmodern","2016-09-13 16:06:03","closed","ajdavis","2016-09-21 18:48:07"
"1828","pyvim","2016-09-13 06:50:27","closed","bdarnell","2016-09-13 12:18:44"
