"number","created_by","created_at","state","commits","merged_by","merged_at"
"1959","judeaugustinej","2017-02-21 07:36:24","open","2","",""
"1957","bdarnell","2017-02-21 00:40:31","open","5","",""
"1956","bdarnell","2017-02-20 22:18:16","closed","7","bdarnell","2017-02-20 22:58:15"
"1954","dinever","2017-02-17 06:09:23","closed","1","ajdavis","2017-02-17 16:27:13"
"1952","Rastagong","2017-02-12 20:39:34","closed","5","",""
"1950","josephhackman","2017-02-11 06:54:28","closed","3","",""
"1949","ajdavis","2017-02-09 01:23:51","closed","1","ajdavis","2017-02-09 03:59:15"
"1948","jeffhunter","2017-02-09 01:19:30","closed","1","bdarnell","2017-02-10 00:21:36"
"1945","brianmego","2017-02-08 21:33:29","closed","1","ajdavis","2017-02-08 23:59:06"
"1938","astawiarski","2017-02-01 14:24:58","open","1","",""
"1936","homm","2017-01-27 00:17:20","open","4","",""
"1935","mirceaulinic","2017-01-25 11:48:03","closed","6","bdarnell","2017-02-10 00:06:34"
"1932","tao12345666333","2017-01-24 09:44:48","closed","1","ajdavis","2017-01-24 14:13:33"
"1928","mr-ping","2017-01-13 02:16:44","closed","1","",""
"1927","minrk","2017-01-11 10:24:21","open","1","",""
"1926","andriisoldatenko","2017-01-08 21:28:22","closed","6","",""
"1924","duboviy","2017-01-08 18:34:14","closed","1","bdarnell","2017-01-08 18:57:07"
"1917","retinator","2016-12-20 20:12:14","open","7","",""
"1916","SuminAndrew","2016-12-17 17:06:30","closed","1","ajdavis","2016-12-20 14:25:08"
"1915","tzulberti-jampp","2016-12-15 16:41:40","closed","2","",""
"1911","medariox","2016-12-11 16:58:22","closed","0","bdarnell","2016-12-13 12:57:11"
"1910","ajdavis","2016-12-10 12:34:55","closed","1","bdarnell","2016-12-13 12:52:37"
"1909","ajdavis","2016-12-10 12:28:14","open","1","",""
"1908","takluyver","2016-12-07 10:15:02","closed","1","bdarnell","2016-12-13 12:47:40"
"1906","ajdavis","2016-12-05 11:37:57","closed","2","bdarnell","2016-12-13 13:46:01"
"1905","MengPhantom","2016-12-03 04:03:08","closed","1","",""
"1902","pitrou","2016-11-30 16:41:44","closed","1","bdarnell","2016-12-13 12:43:37"
"1899","mr-ping","2016-11-24 06:40:49","closed","1","bdarnell","2017-01-08 18:54:17"
"1898","stiletto","2016-11-23 16:29:37","open","1","",""
"1893","pitrou","2016-11-16 11:02:07","closed","1","bdarnell","2016-11-20 12:13:25"
"1890","pitrou","2016-11-15 11:37:30","closed","1","bdarnell","2016-11-20 09:40:34"
"1889","pitrou","2016-11-15 09:42:08","closed","3","bdarnell","2016-11-20 13:51:19"
"1888","pitrou","2016-11-14 18:40:47","open","9","",""
